@relation 'LIWC + SN features-weka.filters.unsupervised.attribute.Remove-R1-25,37-38,40-43,45-93'

@attribute compare numeric
@attribute interrog numeric
@attribute number numeric
@attribute quant numeric
@attribute affect numeric
@attribute posemo numeric
@attribute negemo numeric
@attribute anx numeric
@attribute anger numeric
@attribute sad numeric
@attribute social numeric
@attribute female numeric
@attribute discrep numeric
@attribute NETWORKSIZE numeric
@attribute BETWEENNESS numeric
@attribute NBETWEENNESS numeric
@attribute DENSITY numeric
@attribute BROKERAGE numeric
@attribute NBROKERAGE numeric
@attribute TRANSITIVITY numeric
@attribute cEXT {n,y}

@data
1.89,1.04,3.13,1.83,6.79,4.63,1.96,0.33,0.85,0.2,8.55,4.5,2.28,180,14861.6,93.29,0.03,15661,0.49,0.1,n
2.03,2.16,2.54,1.91,6.48,4.7,1.52,0.13,0.25,0.25,8.64,1.78,1.52,251,30061.5,96.58,0.02,30616,0.49,0.11,y
0.96,1.12,3.19,1.6,8.63,3.35,5.27,0.16,2.56,0.32,8.47,0.64,1.92,115,5992.5,93.04,0.03,6390,0.5,0.02,n
2.51,1.63,2.07,1.78,9.32,8.14,1.18,0.15,0.3,0.44,7.4,0.74,1.78,676,222411,97.77,0.01,225707,0.5,0.06,y
2.15,1.4,1.1,2.44,8.14,4.94,3.14,0.41,0.87,0.47,6.28,1.74,3.37,112,5856.21,95.92,0.04,5968,0.49,0.09,y
1.95,1.95,2.6,1.95,4.55,2.6,0.65,0,0,0.65,9.74,1.3,0,431,90115.4,97.7,0.02,91202,0.49,0.08,n
2.85,1.02,1.93,2.34,8.45,4.79,3.56,0.31,1.12,0.81,8.04,1.22,1.32,855,349689,96.01,0.02,358852,0.49,0.18,y
1.94,1.51,1.62,1.4,6.37,3.46,2.92,0.32,0.97,0.7,6.86,1.03,1.62,694,234370,97.74,0.01,237664,0.5,0.07,y
0.96,1.01,1.05,1.47,8.12,5.82,2.26,0.13,0.8,0.42,6.11,0.75,1.59,188,16902.2,97.19,0.02,17179,0.49,0.05,n
3.57,1.79,1.79,3.57,5.36,1.79,3.57,0,1.79,1.79,8.93,0,0,822,325950,96.83,0.01,333695,0.5,0.07,y
1.54,0.69,2.38,2.77,7.07,6,0.92,0.08,0.15,0.23,3.54,0.08,1.23,689,233003,98.59,0.01,235127,0.5,0.03,n
1.69,1.12,1.5,1.69,5.43,4.87,0.56,0.19,0.19,0,7.12,0.75,1.87,177,14210.2,92.27,0.05,14795,0.48,0.27,n
1.37,0.77,2.14,1.71,6.62,4.36,2.26,0.26,1.07,0.21,8.12,0.26,1.45,789,303058,97.74,0.01,307565,0.5,0.07,n
0.79,1.49,1.99,0.89,4.17,2.58,1.59,0.3,0.7,0.2,4.07,0.1,0.89,562,146858,93.49,0.02,155268,0.49,0.06,n
1.01,0.68,2.03,1.35,6.08,5.07,1.01,0,0.34,0,4.73,1.69,3.04,804,312739,97.12,0.01,321175,0.5,0.01,y
2.02,2.02,0.79,2.11,8.16,4.56,3.42,0.44,1.4,0.44,9.04,0.53,1.67,493,115837,95.9,0.02,118848,0.49,0.12,n
2.63,2.11,1.58,3.16,8.95,6.84,2.11,0.53,1.05,0,8.42,0,2.63,654,207792,97.61,0.01,210797,0.5,0.08,y
1.56,0.44,3.78,2,6.67,4.67,2,0.22,1.11,0.22,6.22,0,0.67,845,350408,98.5,0.01,353642,0.5,0.05,y
0.95,0.79,1.26,0.47,9.46,6.94,2.52,0.32,0.32,0.32,8.68,0.79,2.21,714,249452,98.28,0.01,251861,0.5,0.05,y
0.68,1.37,0.68,1.37,13.7,6.85,6.85,0,4.11,0,8.22,1.37,0,549,141358,94.32,0.02,146775,0.49,0.18,n
0,4.35,4.35,0,8.7,8.7,0,0,0,0,4.35,0,0,1560,1200910,98.88,0,1213740,0.5,0,n
0,0,2.97,0,4.95,3.96,0.99,0,0.99,0,4.95,0.99,0,278,36276,94.9,0.03,37357,0.49,0.16,y
0,5.41,0,0,8.11,8.11,0,0,0,0,8.11,0,5.41,223,21241,86.59,0.06,23383,0.48,0.31,n
3.08,1.92,2.69,1.92,8.08,5.38,2.69,0,0.38,0.38,10,2.69,3.08,298,41492.8,94.4,0.03,42968,0.49,0.14,y
1.22,2.44,2.44,2.44,6.1,3.66,2.44,0,0,0,8.54,0,1.22,298,42048.1,95.66,0.03,43144,0.49,0.12,y
0,0.5,2.5,3,10.5,8,2.5,0,1,0.5,12,1.5,4,686,223635,95.46,0.02,230361,0.49,0.16,n
0.77,1.62,3.15,0.94,7.4,4.93,2.38,0.17,0.94,0.43,7.31,0.34,1.53,631,192351,97.08,0.02,195496,0.49,0.14,y
1.26,0.84,2.09,1.26,12.13,10.04,2.09,0,0,0.42,7.11,1.26,1.26,1091,584445,98.47,0.01,590203,0.5,0.05,y
0.45,0.45,4.07,1.36,9.95,7.24,2.26,0,0.45,1.36,12.67,1.36,1.81,622,188741,98.04,0.01,190791,0.5,0.11,y
1.29,1.29,3.56,2.59,7.12,3.56,3.56,0.32,1.62,0.65,7.44,0.97,1.62,267,33049.5,93.77,0.03,34304,0.49,0.2,n
1.51,1.32,4.15,3.21,8.87,7.55,1.32,0.19,0.38,0.19,8.87,0.75,1.32,1151,650745,98.5,0.01,656894,0.5,0.06,y
0.55,0.55,6.01,0.55,7.65,4.92,2.73,0,1.09,0,7.65,0,1.09,313,45656,94.11,0.03,47527,0.49,0.13,n
1.86,0.97,2.44,2.09,8.31,6.42,1.89,0.35,0.19,0.58,5.92,0.93,0.85,965,453685,97.74,0.01,460223,0.5,0.08,y
1.17,0.7,3.5,0.93,4.2,2.33,1.86,0.23,0.47,0.23,3.73,0.93,0.7,671,216520,96.61,0.02,220974,0.49,0.17,n
1.4,0.56,2.25,2.53,13.2,9.27,3.93,0.28,0.84,0.28,5.06,0.28,1.4,241,28030.7,97.74,0.02,28314,0.49,0.07,y
1.5,1.5,6.94,1.69,6.75,3.75,2.81,0,1.13,0,6.38,0.19,2.06,159,10831.2,87.33,0.04,12050,0.49,0.1,n
0,0,0,0,14.29,7.14,7.14,0,0,7.14,21.43,7.14,7.14,907,404895,98.76,0.01,407823,0.5,0.04,y
1.72,0.86,4.02,0.57,6.32,5.46,0.86,0,0,0.57,8.62,2.3,1.15,459,102508,97.95,0.01,103590,0.49,0.08,n
1.19,1.19,2.38,3.57,3.57,2.38,1.19,0,0,0,1.19,0,0,72,2015.24,81.1,0.12,2262,0.46,0.38,n
1.63,1.86,6.98,2.33,11.86,7.44,4.19,0.23,1.86,0.23,5.58,0.23,2.79,91,3763.98,93.98,0.05,3899,0.49,0.09,n
0,0,0,0,4.55,4.55,0,0,0,0,0,0,0,512,127388,97.76,0.01,129045,0.5,0.08,n
0.53,0.53,2.11,0,4.74,2.63,2.11,0,0,0,3.16,0.53,0.53,144,6219.2,61.25,0.15,8791,0.43,0.48,n
2.09,1.74,1.74,2.26,6.79,4.18,2.44,0.35,0.35,0.7,11.67,0.17,2.61,126,7710.5,99.49,0.02,7729,0.5,0.01,n
0,8.16,0,4.08,8.16,2.04,6.12,0,0,0,6.12,2.04,0,414,84404.8,99.21,0.01,84584,0.5,0.04,n
1.35,1.75,2.25,1.48,6.39,2.83,3.51,0.18,2.2,0.18,6.97,0.04,1.62,89,3036.16,79.31,0.12,3452,0.45,0.43,n
6.38,0,2.13,4.26,0,0,0,0,0,0,2.13,0,2.13,82,2956.54,91.25,0.09,3036,0.47,0.38,n
2.22,1.04,1.28,2.47,9.2,4.83,4.27,0.27,2.03,0.66,5.18,0.48,1.49,169,12774.1,91.06,0.05,13457,0.48,0.28,n
1.26,1.26,1.75,1.85,10.12,8.07,2.04,0.49,0.39,0.58,7.59,0.29,2.24,41,762.5,97.76,0.07,765,0.49,0.06,y
2.82,1.76,3.17,1.59,4.41,2.65,1.76,0.18,0.53,0.71,6.35,0.18,3,440,94264.3,98.05,0.01,95323,0.5,0.05,n
0,0,0,0,8.7,4.35,4.35,0,0,0,13.04,0,4.35,77,2816.33,98.82,0.03,2824,0.5,0.03,n
1.57,2.2,2.83,1.42,5.66,5.03,0.63,0,0.16,0.16,13.68,0.63,1.1,24,225,88.93,0.13,241,0.48,0.12,n
0,1.11,1.11,0,7.78,2.22,5.56,0,1.11,3.33,10,0,2.22,565,156458,98.55,0.01,157750,0.5,0.03,n
1.43,2.2,1.65,2.42,10.46,9.03,1.43,0,0.66,0.33,12.22,0.22,2.2,159,10399.2,83.84,0.08,11611,0.47,0.43,n
1.08,0.91,8.36,1.16,3.15,2.32,0.75,0,0,0.08,3.73,0.75,0.99,775,289468,96.76,0.01,296135,0.49,0.07,y
0,0,0.74,0.74,5.88,4.41,1.47,1.47,0,0,8.82,5.88,1.47,379,66420.9,93.22,0.03,69191,0.49,0.27,n
3.3,0.51,3.81,2.79,6.6,3.55,3.05,0,0.51,1.02,8.38,1.78,1.52,826,338268,99.52,0,339027,0.5,0.01,y
2.35,0.47,0.47,1.17,4.93,3.76,1.17,0,0.47,0.47,10.33,1.17,0.94,175,14199.5,94.34,0.04,14654,0.49,0.17,y
3.56,0.89,3.26,3.26,4.75,3.26,1.48,0.3,0.3,0.3,6.53,0,2.08,486,115531,98.43,0.01,116816,0.5,0.03,n
2.85,2.25,2.25,1.65,9,4.8,4.2,0,2.25,0.45,6,0.15,1.2,302,43566.4,96.49,0.02,44428,0.49,0.1,y
3.13,2.65,0.72,2.17,7.47,5.06,2.41,0.72,0.24,0.48,10.36,5.06,3.86,322,47166.9,91.84,0.02,50780,0.49,0.04,n
2.04,1.3,2.25,1.57,7.5,4.77,2.66,0.27,0.82,0.61,8.38,0.34,1.77,436,90494.3,95.87,0.02,92933,0.49,0.1,n
1.03,2.06,2.06,0,3.09,3.09,0,0,0,0,3.09,0,0,127,7633,96.93,0.03,7743,0.49,0.08,n
3.85,0,0,0,0,0,0,0,0,0,3.85,0,0,1098,593081,98.66,0.01,598066,0.5,0.04,n
1.71,0.99,2.16,1.71,7.28,3.32,3.86,0.09,2.43,0.27,9.07,0.63,1.71,313,48253.6,99.46,0.01,48356,0.5,0.01,n
0,0,15.38,0,0,0,0,0,0,0,0,0,0,457,100985,97.34,0.01,102634,0.49,0.06,n
1.79,1,5.18,1.99,9.36,7.77,1.2,0,0.2,0.4,8.57,0,0.6,139,9100.53,96.27,0.04,9251,0.49,0.11,n
0.39,0.39,10.08,1.55,9.3,6.59,2.71,0.39,1.55,0.39,4.65,0,0.78,95,4143.03,94.78,0.05,4239,0.48,0.16,n
0.93,0,2.79,2.33,7.44,6.51,0.93,0,0.47,0,6.05,0.93,0.93,243,27562,94.52,0.03,28498,0.49,0.15,n
1.36,1.13,2.71,1.36,7.69,4.52,3.05,0.68,0.79,0.68,7.24,1.24,1.58,1118,614830,98.64,0,622150,0.5,0.01,y
3.94,0,0.79,0.79,7.09,4.72,2.36,0.79,0,0.79,6.3,0.79,4.72,85,2972.73,85.28,0.1,3201,0.46,0.37,n
