@relation 'LIWC + SN features-weka.filters.unsupervised.attribute.Remove-R1-3,5-10,13-15,17-26,28-52,54-56,58-60,62-80,82-88,90-93-weka.filters.unsupervised.attribute.Remove-R1-10,12,14-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute BROKERAGE numeric
@attribute NBROKERAGE numeric
@attribute TRANSITIVITY numeric
@attribute cEXT {n,y}

@data
15661,0.49,0.1,n
30616,0.49,0.11,y
6390,0.5,0.02,n
225707,0.5,0.06,y
5968,0.49,0.09,y
91202,0.49,0.08,n
358852,0.49,0.18,y
237664,0.5,0.07,y
17179,0.49,0.05,n
333695,0.5,0.07,y
235127,0.5,0.03,n
14795,0.48,0.27,n
307565,0.5,0.07,n
155268,0.49,0.06,n
321175,0.5,0.01,y
118848,0.49,0.12,n
210797,0.5,0.08,y
353642,0.5,0.05,y
251861,0.5,0.05,y
146775,0.49,0.18,n
1213740,0.5,0,n
37357,0.49,0.16,y
23383,0.48,0.31,n
42968,0.49,0.14,y
43144,0.49,0.12,y
230361,0.49,0.16,n
195496,0.49,0.14,y
590203,0.5,0.05,y
190791,0.5,0.11,y
34304,0.49,0.2,n
656894,0.5,0.06,y
47527,0.49,0.13,n
460223,0.5,0.08,y
220974,0.49,0.17,n
28314,0.49,0.07,y
12050,0.49,0.1,n
407823,0.5,0.04,y
103590,0.49,0.08,n
2262,0.46,0.38,n
3899,0.49,0.09,n
129045,0.5,0.08,n
8791,0.43,0.48,n
7729,0.5,0.01,n
84584,0.5,0.04,n
3452,0.45,0.43,n
3036,0.47,0.38,n
13457,0.48,0.28,n
765,0.49,0.06,y
95323,0.5,0.05,n
2824,0.5,0.03,n
241,0.48,0.12,n
157750,0.5,0.03,n
11611,0.47,0.43,n
296135,0.49,0.07,y
69191,0.49,0.27,n
339027,0.5,0.01,y
14654,0.49,0.17,y
116816,0.5,0.03,n
44428,0.49,0.1,y
50780,0.49,0.04,n
92933,0.49,0.1,n
7743,0.49,0.08,n
598066,0.5,0.04,n
48356,0.5,0.01,n
102634,0.49,0.06,n
9251,0.49,0.11,n
4239,0.48,0.16,n
28498,0.49,0.15,n
622150,0.5,0.01,y
3201,0.46,0.37,n
63195,0.49,0.22,n
21766,0.47,0.33,n
456202,0.49,0.11,y
153896,0.5,0.08,y
27822,0.5,0.04,n
9061,0.49,0.17,y
91701,0.5,0.03,n
26805,0.49,0.18,n
569584,0.5,0.03,y
16845,0.49,0.12,y
112134,0.5,0.06,y
63826,0.49,0.05,n
120779,0.49,0.13,n
4660,0.49,0.06,n
341154,0.5,0.07,n
36786,0.48,0.21,n
67740,0.49,0.19,n
4687,0.49,0.04,n
976,0.49,0.04,y
81253,0.5,0.01,y
70505,0.49,0.16,n
1362,0.46,0.31,n
62940,0.47,0.33,n
8817,0.47,0.39,n
167499,0.49,0.12,y
538780,0.5,0.06,y
101166,0.49,0.26,n
239033,0.5,0.05,n
31439,0.49,0.19,n
734,0.5,0.03,y
36920,0.49,0.21,n
69841,0.49,0.09,y
13281,0.48,0.21,n
17908,0.47,0.36,n
6340,0.46,0.37,n
33381,0.49,0.13,n
156035,0.49,0.08,y
34191,0.49,0.11,n
798934,0.5,0.01,y
49584,0.49,0.06,y
7938,0.48,0.22,n
40303,0.49,0.13,y
50466,0.49,0.12,y
174859,0.5,0.05,y
41550,0.49,0.21,n
54306,0.49,0.07,n
18313,0.49,0.06,n
14360,0.48,0.19,y
14973,0.49,0.09,n
872305,0.5,0.01,y
653,0.49,0.06,n
444948,0.5,0.03,y
14554,0.48,0.22,n
36794,0.5,0.04,n
8311,0.47,0.35,n
189353,0.49,0.21,y
31404,0.48,0.16,n
83757,0.49,0.07,n
749015,0.5,0,y
9196,0.47,0.31,n
84969,0.5,0.04,n
3287,0.48,0.15,n
97416,0.49,0.1,n
29632,0.47,0.39,n
21100,0.47,0.44,n
57442,0.49,0.1,n
42998,0.5,0.01,y
95665,0.49,0.15,n
52282,0.49,0.17,y
250442,0.49,0.16,n
113210,0.5,0.02,n
1761,0.5,0.02,n
13137,0.49,0.17,n
119963,0.49,0.08,y
450439,0.5,0.08,y
92952,0.49,0.11,n
3973,0.46,0.39,n
145576,0.5,0.01,n
49782,0.49,0.22,y
2172,0.46,0.29,n
97635,0.49,0.13,y
10581,0.49,0.11,n
12225,0.48,0.26,n
51220,0.49,0.18,y
42826,0.49,0.17,n
24946,0.47,0.36,n
1876,0.47,0.28,n
99733,0.49,0.12,y
377,0.32,0.63,n
