@relation 'LIWC + SN features-weka.filters.unsupervised.attribute.Remove-R1-3,5-10,13-15,17-26,28-52,54-56,58-60,62-80,82-88,90-93-weka.filters.unsupervised.attribute.Remove-R1-10,12,14'

@attribute NETWORKSIZE numeric
@attribute NBETWEENNESS numeric
@attribute BROKERAGE numeric
@attribute NBROKERAGE numeric
@attribute TRANSITIVITY numeric
@attribute cEXT {n,y}

@data
180,93.29,15661,0.49,0.1,n
251,96.58,30616,0.49,0.11,y
115,93.04,6390,0.5,0.02,n
676,97.77,225707,0.5,0.06,y
112,95.92,5968,0.49,0.09,y
431,97.7,91202,0.49,0.08,n
855,96.01,358852,0.49,0.18,y
694,97.74,237664,0.5,0.07,y
188,97.19,17179,0.49,0.05,n
822,96.83,333695,0.5,0.07,y
689,98.59,235127,0.5,0.03,n
177,92.27,14795,0.48,0.27,n
789,97.74,307565,0.5,0.07,n
562,93.49,155268,0.49,0.06,n
804,97.12,321175,0.5,0.01,y
493,95.9,118848,0.49,0.12,n
654,97.61,210797,0.5,0.08,y
845,98.5,353642,0.5,0.05,y
714,98.28,251861,0.5,0.05,y
549,94.32,146775,0.49,0.18,n
1560,98.88,1213740,0.5,0,n
278,94.9,37357,0.49,0.16,y
223,86.59,23383,0.48,0.31,n
298,94.4,42968,0.49,0.14,y
298,95.66,43144,0.49,0.12,y
686,95.46,230361,0.49,0.16,n
631,97.08,195496,0.49,0.14,y
1091,98.47,590203,0.5,0.05,y
622,98.04,190791,0.5,0.11,y
267,93.77,34304,0.49,0.2,n
1151,98.5,656894,0.5,0.06,y
313,94.11,47527,0.49,0.13,n
965,97.74,460223,0.5,0.08,y
671,96.61,220974,0.49,0.17,n
241,97.74,28314,0.49,0.07,y
159,87.33,12050,0.49,0.1,n
907,98.76,407823,0.5,0.04,y
459,97.95,103590,0.49,0.08,n
72,81.1,2262,0.46,0.38,n
91,93.98,3899,0.49,0.09,n
512,97.76,129045,0.5,0.08,n
144,61.25,8791,0.43,0.48,n
126,99.49,7729,0.5,0.01,n
414,99.21,84584,0.5,0.04,n
89,79.31,3452,0.45,0.43,n
82,91.25,3036,0.47,0.38,n
169,91.06,13457,0.48,0.28,n
41,97.76,765,0.49,0.06,y
440,98.05,95323,0.5,0.05,n
77,98.82,2824,0.5,0.03,n
24,88.93,241,0.48,0.12,n
565,98.55,157750,0.5,0.03,n
159,83.84,11611,0.47,0.43,n
775,96.76,296135,0.49,0.07,y
379,93.22,69191,0.49,0.27,n
826,99.52,339027,0.5,0.01,y
175,94.34,14654,0.49,0.17,y
486,98.43,116816,0.5,0.03,n
