@relation 'LIWC + SN features-weka.filters.unsupervised.attribute.Remove-R1-3,5-10,13-15,17-26,28-52,54-56,58-60,62-80,82-88,90-93'

@attribute Authentic numeric
@attribute ppron numeric
@attribute i numeric
@attribute they numeric
@attribute interrog numeric
@attribute body numeric
@attribute drives numeric
@attribute reward numeric
@attribute filler numeric
@attribute Dash numeric
@attribute NETWORKSIZE numeric
@attribute BETWEENNESS numeric
@attribute NBETWEENNESS numeric
@attribute DENSITY numeric
@attribute BROKERAGE numeric
@attribute NBROKERAGE numeric
@attribute TRANSITIVITY numeric
@attribute cEXT {n,y}

@data
16.45,7.31,1.63,0.2,1.04,1.83,6.33,1.17,0.07,0.78,180,14861.6,93.29,0.03,15661,0.49,0.1,n
53.16,7.75,3.56,0.51,2.16,0.25,8.77,3.18,0,0.64,251,30061.5,96.58,0.02,30616,0.49,0.11,y
41.11,8.79,4.95,0.48,1.12,1.76,5.75,1.28,0,1.44,115,5992.5,93.04,0.03,6390,0.5,0.02,n
39.34,7.84,4.73,0,1.63,1.04,6.36,2.22,0.15,2.81,676,222411,97.77,0.01,225707,0.5,0.06,y
40.74,7.21,3.84,0.41,1.4,0.76,5.93,1.86,0,0.23,112,5856.21,95.92,0.04,5968,0.49,0.09,y
95.47,3.25,2.6,0,1.95,0,4.55,0,0,3.9,431,90115.4,97.7,0.02,91202,0.49,0.08,n
65.69,8.66,4.89,0.31,1.02,0.92,7.64,2.95,0,1.63,855,349689,96.01,0.02,358852,0.49,0.18,y
54.68,7.24,4.21,0.22,1.51,0.81,6.1,1.3,0,1.4,694,234370,97.74,0.01,237664,0.5,0.07,y
72.7,8.04,5.49,0.38,1.01,1.05,6.7,2.35,0.08,0.25,188,16902.2,97.19,0.02,17179,0.49,0.05,n
99,12.5,7.14,0,1.79,0,5.36,0,0,0,822,325950,96.83,0.01,333695,0.5,0.07,y
92.38,7.38,5.92,0.08,0.69,0.46,5.92,2.38,0.08,0.85,689,233003,98.59,0.01,235127,0.5,0.03,n
44.87,6.37,3.75,0.19,1.12,0.75,8.05,2.43,0,2.25,177,14210.2,92.27,0.05,14795,0.48,0.27,n
50.17,5.73,1.62,0.21,0.77,0.68,6.54,1.58,0,0.43,789,303058,97.74,0.01,307565,0.5,0.07,n
7.17,3.97,2.09,0.6,1.49,0.2,4.27,0.79,0,0.79,562,146858,93.49,0.02,155268,0.49,0.06,n
40.75,4.73,2.03,0.68,0.68,1.69,4.05,2.36,0,1.69,804,312739,97.12,0.01,321175,0.5,0.01,y
54.43,8.77,4.91,0.26,2.02,1.05,6.67,1.67,0,1.14,493,115837,95.9,0.02,118848,0.49,0.12,n
90.72,8.95,5.79,0,2.11,0.53,10.53,5.26,0,2.11,654,207792,97.61,0.01,210797,0.5,0.08,y
86.27,6.89,3.56,0,0.44,1.56,6.89,2,0,2.67,845,350408,98.5,0.01,353642,0.5,0.05,y
50.9,8.52,4.42,0,0.79,0.16,7.57,3.15,0,0,714,249452,98.28,0.01,251861,0.5,0.05,y
68.98,9.59,5.48,0,1.37,2.05,9.59,2.05,0.68,0,549,141358,94.32,0.02,146775,0.49,0.18,n
98.89,0,0,0,4.35,0,13.04,4.35,0,4.35,1560,1200910,98.88,0,1213740,0.5,0,n
99,7.92,5.94,0,0,0,5.94,1.98,0,1.98,278,36276,94.9,0.03,37357,0.49,0.16,y
4.5,10.81,8.11,0,5.41,2.7,5.41,0,0,0,223,21241,86.59,0.06,23383,0.48,0.31,n
19.17,8.46,2.31,1.92,1.92,0.77,8.08,3.08,0,0.38,298,41492.8,94.4,0.03,42968,0.49,0.14,y
48.21,8.54,3.66,1.22,2.44,0,13.41,3.66,0,2.44,298,42048.1,95.66,0.03,43144,0.49,0.12,y
53.33,10,5,0,0.5,0,9,1,0,0.5,686,223635,95.46,0.02,230361,0.49,0.16,n
71.95,8.08,5.19,0.09,1.62,0.26,7.48,1.7,0,1.11,631,192351,97.08,0.02,195496,0.49,0.14,y
73.05,5.02,3.35,0,0.84,1.26,6.69,2.09,0,2.51,1091,584445,98.47,0.01,590203,0.5,0.05,y
34.15,10.41,2.71,0.9,0.45,0.9,7.69,1.36,0,1.81,622,188741,98.04,0.01,190791,0.5,0.11,y
72.54,7.12,5.18,0.32,1.29,0.97,7.44,1.29,0,0.97,267,33049.5,93.77,0.03,34304,0.49,0.2,n
65.53,8.49,4.72,0.75,1.32,1.13,7.92,2.64,0,0.38,1151,650745,98.5,0.01,656894,0.5,0.06,y
4.68,3.83,1.09,0,0.55,1.09,6.01,2.19,0,2.19,313,45656,94.11,0.03,47527,0.49,0.13,n
83.47,8.7,6.26,0.31,0.97,0.5,9.16,3.17,0.08,1.28,965,453685,97.74,0.01,460223,0.5,0.08,y
48.31,4.2,3.5,0.23,0.7,0.47,4.2,1.86,0,0.23,671,216520,96.61,0.02,220974,0.49,0.17,n
95.05,9.55,7.58,0,0.56,0.56,6.74,1.12,0,1.12,241,28030.7,97.74,0.02,28314,0.49,0.07,y
75.5,11.26,8.82,0.19,1.5,0.56,6.94,2.44,0,1.13,159,10831.2,87.33,0.04,12050,0.49,0.1,n
52.86,21.43,14.29,0,0,0,7.14,0,0,0,907,404895,98.76,0.01,407823,0.5,0.04,y
69.96,6.32,2.59,0.29,0.86,0.29,10.06,1.44,0,0.29,459,102508,97.95,0.01,103590,0.49,0.08,n
85.62,3.57,3.57,0,1.19,1.19,3.57,1.19,0,0,72,2015.24,81.1,0.12,2262,0.46,0.38,n
41.87,6.05,2.79,0,1.86,2.33,6.05,0.93,0.23,0.23,91,3763.98,93.98,0.05,3899,0.49,0.09,n
31.94,0,0,0,0,0,0,0,0,0,512,127388,97.76,0.01,129045,0.5,0.08,n
95.29,4.74,3.16,0,0.53,2.11,6.32,2.63,0,0,144,6219.2,61.25,0.15,8791,0.43,0.48,n
67.32,11.15,5.75,1.05,1.74,0.7,6.97,1.05,0,0.87,126,7710.5,99.49,0.02,7729,0.5,0.01,n
99,12.24,12.24,0,8.16,0,8.16,4.08,0,0,414,84404.8,99.21,0.01,84584,0.5,0.04,n
21.37,7.56,3.87,1.08,1.75,1.26,5.35,1.3,0.09,0.81,89,3036.16,79.31,0.12,3452,0.45,0.43,n
77.49,2.13,2.13,0,0,0,2.13,0,0,0,82,2956.54,91.25,0.09,3036,0.47,0.38,n
79.56,9.06,7.05,0.14,1.04,1.93,5.47,1.76,0.15,3.05,169,12774.1,91.06,0.05,13457,0.48,0.28,n
79.63,10.12,7.78,0.39,1.26,1.17,6.52,2.24,0.29,0.88,41,762.5,97.76,0.07,765,0.49,0.06,y
71.11,9.7,7.05,0,1.76,0.18,4.41,1.06,0.18,0.35,440,94264.3,98.05,0.01,95323,0.5,0.05,n
1,0,0,0,0,4.35,4.35,4.35,0,4.35,77,2816.33,98.82,0.03,2824,0.5,0.03,n
