@relation '6. Cognitive Process + SN Features'

@attribute cogproc numeric
@attribute insight numeric
@attribute cause numeric
@attribute discrep numeric
@attribute tentat numeric
@attribute certain numeric
@attribute differ numeric
@attribute NETWORKSIZE numeric
@attribute BETWEENNESS numeric
@attribute NBETWEENNESS numeric
@attribute DENSITY numeric
@attribute BROKERAGE numeric
@attribute NBROKERAGE numeric
@attribute TRANSITIVITY numeric
@attribute cEXT {n,y}

@data
10.51,2.22,1.5,2.28,1.63,1.5,2.22,180,14861.6,93.29,0.03,15661,0.49,0.1,n
9.4,1.78,1.52,1.52,1.65,2.03,2.03,251,30061.5,96.58,0.02,30616,0.49,0.11,y
9.11,1.12,0.96,1.92,2.4,1.6,2.24,115,5992.5,93.04,0.03,6390,0.5,0.02,n
9.02,1.33,1.33,1.78,2.66,1.48,1.48,676,222411,97.77,0.01,225707,0.5,0.06,y
13.26,1.92,1.16,3.37,3.66,1.63,3.66,112,5856.21,95.92,0.04,5968,0.49,0.09,y
12.34,7.14,0.65,0,1.3,1.95,1.95,431,90115.4,97.7,0.02,91202,0.49,0.08,n
11.81,2.85,1.63,1.32,2.85,1.83,2.34,855,349689,96.01,0.02,358852,0.49,0.18,y
9.88,1.73,1.03,1.62,3.02,1.13,2.43,694,234370,97.74,0.01,237664,0.5,0.07,y
9.17,2.09,0.67,1.59,2.3,1.01,2.85,188,16902.2,97.19,0.02,17179,0.49,0.05,n
23.21,7.14,3.57,0,5.36,1.79,8.93,822,325950,96.83,0.01,333695,0.5,0.07,y
9.68,2.46,0.92,1.23,2.84,1,2.31,689,233003,98.59,0.01,235127,0.5,0.03,n
8.8,2.43,0.75,1.87,2.81,0.94,1.69,177,14210.2,92.27,0.05,14795,0.48,0.27,n
7.31,1.28,0.47,1.45,1.79,1.37,1.62,789,303058,97.74,0.01,307565,0.5,0.07,n
4.77,0.79,0.7,0.89,1.39,0.89,1.49,562,146858,93.49,0.02,155268,0.49,0.06,n
11.82,1.69,1.35,3.04,2.36,2.03,2.7,804,312739,97.12,0.01,321175,0.5,0.01,y
11.14,2.81,1.75,1.67,1.67,2.02,2.02,493,115837,95.9,0.02,118848,0.49,0.12,n
12.11,1.05,0.53,2.63,3.68,2.11,4.74,654,207792,97.61,0.01,210797,0.5,0.08,y
9.33,1.78,0.44,0.67,2.44,2.44,1.78,845,350408,98.5,0.01,353642,0.5,0.05,y
9.94,2.05,0.95,2.21,3.79,1.1,2.52,714,249452,98.28,0.01,251861,0.5,0.05,y
5.48,2.05,0,0,0.68,1.37,1.37,549,141358,94.32,0.02,146775,0.49,0.18,n
0,0,0,0,0,0,0,1560,1200910,98.88,0,1213740,0.5,0,n
1.98,0,0,0,0,1.98,0,278,36276,94.9,0.03,37357,0.49,0.16,y
16.22,5.41,2.7,5.41,2.7,0,0,223,21241,86.59,0.06,23383,0.48,0.31,n
13.08,2.31,1.92,3.08,2.69,1.54,3.08,298,41492.8,94.4,0.03,42968,0.49,0.14,y
