@relation 'NeuroticismFinder_LIWC + SN features-weka.filters.unsupervised.attribute.Remove-R1-27,29-46,48-69,71-73,75-83,85-93,96,99'

@attribute number numeric
@attribute differ numeric
@attribute work numeric
@attribute relig numeric
@attribute Comma numeric
@attribute NETWORKSIZE numeric
@attribute BETWEENNESS numeric
@attribute DENSITY numeric
@attribute BROKERAGE numeric
@attribute TRANSITIVITY numeric
@attribute cNEU {y,n}

@data
3.13,2.22,2.48,0.13,4.5,180,14861.6,0.03,15661,0.1,y
2.54,2.03,3.56,0.89,3.68,251,30061.5,0.02,30616,0.11,y
3.19,2.24,0.8,0.32,3.51,115,5992.5,0.03,6390,0.02,n
2.07,1.48,1.63,0.44,1.63,676,222411,0.01,225707,0.06,n
1.1,3.66,2.15,0.23,3.43,112,5856.21,0.04,5968,0.09,n
2.6,1.95,4.55,0,3.9,431,90115.4,0.02,91202,0.08,n
1.93,2.34,1.32,0.1,3.87,855,349689,0.02,358852,0.18,n
1.62,2.43,2.05,0.81,3.73,694,234370,0.01,237664,0.07,n
1.05,2.85,1.05,0.46,2.09,188,16902.2,0.02,17179,0.05,y
1.79,8.93,0,0,5.36,822,325950,0.01,333695,0.07,y
2.38,2.31,1.08,0.23,2.69,689,233003,0.01,235127,0.03,n
1.5,1.69,4.31,0,2.25,177,14210.2,0.05,14795,0.27,y
2.14,1.62,1.37,0.3,1.07,789,303058,0.01,307565,0.07,n
1.99,1.49,1.19,0.79,2.28,562,146858,0.02,155268,0.06,n
2.03,2.7,1.01,0.34,1.69,804,312739,0.01,321175,0.01,n
0.79,2.02,1.58,0.18,5.18,493,115837,0.02,118848,0.12,n
1.58,4.74,4.21,0.53,3.16,654,207792,0.01,210797,0.08,n
3.78,1.78,2,0.44,3.56,845,350408,0.01,353642,0.05,y
1.26,2.52,1.1,0,1.42,714,249452,0.01,251861,0.05,n
0.68,1.37,1.37,0,7.53,549,141358,0.02,146775,0.18,y
4.35,0,13.04,0,0,1560,1200910,0,1213740,0,y
2.97,0,3.96,1.98,0,278,36276,0.03,37357,0.16,n
0,0,2.7,0,2.7,223,21241,0.06,23383,0.31,y
2.69,3.08,1.15,0,3.08,298,41492.8,0.03,42968,0.14,n
2.44,4.88,6.1,0,7.32,298,42048.1,0.03,43144,0.12,n
2.5,3,0.5,5.5,2,686,223635,0.02,230361,0.16,n
3.15,2.98,2.38,0.51,2.3,631,192351,0.02,195496,0.14,y
2.09,0.84,2.93,0,2.09,1091,584445,0.01,590203,0.05,n
4.07,2.71,0.45,0.45,4.07,622,188741,0.01,190791,0.11,y
3.56,4.53,2.91,0.97,1.62,267,33049.5,0.03,34304,0.2,y
4.15,3.21,1.89,0.19,2.64,1151,650745,0.01,656894,0.06,n
6.01,0,4.92,1.09,1.09,313,45656,0.03,47527,0.13,y
2.44,1.82,5.03,0.31,4.02,965,453685,0.01,460223,0.08,n
3.5,1.4,0.7,0.23,0.93,671,216520,0.02,220974,0.17,y
2.25,2.81,3.09,0.28,1.12,241,28030.7,0.02,28314,0.07,n
6.94,2.63,1.88,0,3.38,159,10831.2,0.04,12050,0.1,y
0,0,0,0,0,907,404895,0.01,407823,0.04,n
4.02,2.3,3.74,0.57,0.86,459,102508,0.01,103590,0.08,n
2.38,0,1.19,0,4.76,72,2015.24,0.12,2262,0.38,n
6.98,1.4,2.33,0.7,9.77,91,3763.98,0.05,3899,0.09,y
0,0,0,0,9.09,512,127388,0.01,129045,0.08,n
2.11,1.58,2.11,0,3.16,144,6219.2,0.15,8791,0.48,n
1.74,4.88,1.39,0.17,5.57,126,7710.5,0.02,7729,0.01,y
0,2.04,6.12,0,0,414,84404.8,0.01,84584,0.04,n
2.25,1.93,1.12,0.72,5.13,89,3036.16,0.12,3452,0.43,y
2.13,2.13,4.26,0,2.13,82,2956.54,0.09,3036,0.38,y
1.28,3.56,1.18,0.44,4.74,169,12774.1,0.05,13457,0.28,y
1.75,3.02,1.36,0.39,1.36,41,762.5,0.07,765,0.06,n
3.17,3.88,1.94,0,1.41,440,94264.3,0.01,95323,0.05,n
0,4.35,4.35,0,0,77,2816.33,0.03,2824,0.03,n
2.83,2.2,0.31,3.46,5.82,24,225,0.13,241,0.12,y
1.11,3.33,2.22,0,5.56,565,156458,0.01,157750,0.03,n
1.65,3.19,1.98,0.77,2.86,159,10399.2,0.08,11611,0.43,n
8.36,0.99,11.34,0.91,5.3,775,289468,0.01,296135,0.07,n
0.74,2.21,2.21,0.74,2.94,379,66420.9,0.03,69191,0.27,n
3.81,2.03,4.06,0.51,0.76,826,338268,0,339027,0.01,n
0.47,1.41,0.94,0,4.46,175,14199.5,0.04,14654,0.17,n
3.26,4.45,3.26,0,2.08,486,115531,0.01,116816,0.03,n
2.25,3.45,1.95,0.45,2.55,302,43566.4,0.02,44428,0.1,n
0.72,1.93,2.89,0,0.96,322,47166.9,0.02,50780,0.04,n
2.25,3.34,1.36,0.2,3.07,436,90494.3,0.02,92933,0.1,n
2.06,2.06,4.12,0,1.03,127,7633,0.03,7743,0.08,n
0,3.85,0,3.85,0,1098,593081,0.01,598066,0.04,y
2.16,2.61,3.59,0.18,3.23,313,48253.6,0.01,48356,0.01,n
15.38,0,0,0,0,457,100985,0.01,102634,0.06,n
5.18,2.59,1.99,0.6,1.39,139,9100.53,0.04,9251,0.11,n
