@relation 'NeuroticismFinder_LIWC + SN features-weka.filters.unsupervised.attribute.Remove-R1-95,98'

@attribute NBETWEENNESS numeric
@attribute DENSITY numeric
@attribute NBROKERAGE numeric
@attribute TRANSITIVITY numeric
@attribute cNEU {y,n}

@data
93.29,0.03,0.49,0.1,y
96.58,0.02,0.49,0.11,y
93.04,0.03,0.5,0.02,n
97.77,0.01,0.5,0.06,n
95.92,0.04,0.49,0.09,n
97.7,0.02,0.49,0.08,n
96.01,0.02,0.49,0.18,n
97.74,0.01,0.5,0.07,n
97.19,0.02,0.49,0.05,y
96.83,0.01,0.5,0.07,y
98.59,0.01,0.5,0.03,n
92.27,0.05,0.48,0.27,y
97.74,0.01,0.5,0.07,n
93.49,0.02,0.49,0.06,n
97.12,0.01,0.5,0.01,n
95.9,0.02,0.49,0.12,n
97.61,0.01,0.5,0.08,n
98.5,0.01,0.5,0.05,y
98.28,0.01,0.5,0.05,n
94.32,0.02,0.49,0.18,y
98.88,0,0.5,0,y
94.9,0.03,0.49,0.16,n
86.59,0.06,0.48,0.31,y
94.4,0.03,0.49,0.14,n
95.66,0.03,0.49,0.12,n
95.46,0.02,0.49,0.16,n
97.08,0.02,0.49,0.14,y
98.47,0.01,0.5,0.05,n
98.04,0.01,0.5,0.11,y
93.77,0.03,0.49,0.2,y
98.5,0.01,0.5,0.06,n
94.11,0.03,0.49,0.13,y
97.74,0.01,0.5,0.08,n
96.61,0.02,0.49,0.17,y
97.74,0.02,0.49,0.07,n
87.33,0.04,0.49,0.1,y
98.76,0.01,0.5,0.04,n
97.95,0.01,0.49,0.08,n
81.1,0.12,0.46,0.38,n
93.98,0.05,0.49,0.09,y
97.76,0.01,0.5,0.08,n
61.25,0.15,0.43,0.48,n
99.49,0.02,0.5,0.01,y
99.21,0.01,0.5,0.04,n
79.31,0.12,0.45,0.43,y
91.25,0.09,0.47,0.38,y
91.06,0.05,0.48,0.28,y
97.76,0.07,0.49,0.06,n
98.05,0.01,0.5,0.05,n
98.82,0.03,0.5,0.03,n
88.93,0.13,0.48,0.12,y
98.55,0.01,0.5,0.03,n
83.84,0.08,0.47,0.43,n
96.76,0.01,0.49,0.07,n
93.22,0.03,0.49,0.27,n
99.52,0,0.5,0.01,n
94.34,0.04,0.49,0.17,n
98.43,0.01,0.5,0.03,n
96.49,0.02,0.49,0.1,n
91.84,0.02,0.49,0.04,n
95.87,0.02,0.49,0.1,n
96.93,0.03,0.49,0.08,n
98.66,0.01,0.5,0.04,y
99.46,0.01,0.5,0.01,n
97.34,0.01,0.49,0.06,n
96.27,0.04,0.49,0.11,n
94.78,0.05,0.48,0.16,n
94.52,0.03,0.49,0.15,y
98.64,0,0.5,0.01,y
85.28,0.1,0.46,0.37,n
94.3,0.03,0.49,0.22,n
84.09,0.06,0.47,0.33,n
96.74,0.01,0.49,0.11,n
97.95,0.01,0.5,0.08,n
98.15,0.01,0.5,0.04,y
95.81,0.04,0.49,0.17,n
98.98,0.01,0.5,0.03,n
93.3,0.03,0.49,0.18,y
98.92,0.01,0.5,0.03,n
96.37,0.03,0.49,0.12,n
98.37,0.01,0.5,0.06,n
90.83,0.02,0.49,0.05,y
94.92,0.02,0.49,0.13,n
89.29,0.04,0.49,0.06,y
98.36,0.01,0.5,0.07,n
73.16,0.04,0.48,0.21,n
93.47,0.03,0.49,0.19,y
88.4,0.03,0.49,0.04,y
97.73,0.06,0.49,0.04,n
96.07,0.01,0.5,0.01,n
94.78,0.03,0.49,0.16,y
81.15,0.12,0.46,0.31,n
69.16,0.06,0.47,0.33,n
86.09,0.08,0.47,0.39,n
96.69,0.02,0.49,0.12,y
98.16,0.01,0.5,0.06,n
95.49,0.03,0.49,0.26,y
98.99,0.01,0.5,0.05,n
96.22,0.03,0.49,0.19,y
98.85,0.06,0.5,0.03,n
94.9,0.03,0.49,0.21,n
95.9,0.02,0.49,0.09,n
95.2,0.04,0.48,0.21,y
83.4,0.07,0.47,0.36,y
80.95,0.1,0.46,0.37,y
97.14,0.02,0.49,0.13,y
97.43,0.01,0.49,0.08,n
89.11,0.03,0.49,0.11,y
95.81,0,0.5,0.01,n
97.88,0.02,0.49,0.06,y
92.86,0.05,0.48,0.22,y
95.44,0.02,0.49,0.13,y
95.94,0.02,0.49,0.12,n
98.16,0.01,0.5,0.05,n
92.67,0.04,0.49,0.21,y
97.52,0.02,0.49,0.07,n
97.81,0.02,0.49,0.06,n
91.52,0.05,0.48,0.19,n
96.98,0.03,0.49,0.09,y
99.82,0,0.5,0.01,n
97.32,0.07,0.49,0.06,y
99,0.01,0.5,0.03,n
93.82,0.04,0.48,0.22,y
97.94,0.02,0.5,0.04,n
92.24,0.07,0.47,0.35,y
95.83,0.02,0.49,0.21,n
74.57,0.05,0.48,0.16,n
97.8,0.02,0.49,0.07,n
97.31,0,0.5,0,n
86.33,0.07,0.47,0.31,y
98.98,0.01,0.5,0.04,y
94.72,0.06,0.48,0.15,y
96.3,0.02,0.49,0.1,y
84.25,0.07,0.47,0.39,n
90.43,0.07,0.47,0.44,n
96.92,0.02,0.49,0.1,n
99.67,0.01,0.5,0.01,y
95.18,0.02,0.49,0.15,y
92.22,0.03,0.49,0.17,y
96.53,0.02,0.49,0.16,y
98.55,0.01,0.5,0.02,n
99.49,0.04,0.5,0.02,n
93.79,0.04,0.49,0.17,y
97.04,0.01,0.49,0.08,n
97.2,0.01,0.5,0.08,n
96.19,0.02,0.49,0.11,y
86.65,0.09,0.46,0.39,y
94.51,0.01,0.5,0.01,y
95.11,0.03,0.49,0.22,n
83.97,0.1,0.46,0.29,y
95.92,0.02,0.49,0.13,y
93.22,0.04,0.49,0.11,y
91.73,0.05,0.48,0.26,y
95.51,0.03,0.49,0.18,y
95.58,0.03,0.49,0.17,y
86.79,0.06,0.47,0.36,n
84.17,0.1,0.47,0.28,y
97.16,0.02,0.49,0.12,n
31.21,0.4,0.32,0.63,n
88.4,0.08,0.47,0.26,y
98.25,0.02,0.49,0.05,y
95.77,0.02,0.49,0.13,y
93.46,0.02,0.49,0.15,n
98.17,0.02,0.5,0.04,y
94.82,0.03,0.49,0.17,n
70.55,0.09,0.46,0.34,n
94.75,0.04,0.49,0.14,n
98.39,0.01,0.5,0.07,n
99.63,0.02,0.5,0.01,y
98.6,0.01,0.5,0.07,n
93.77,0.03,0.49,0.16,n
97.52,0.06,0.49,0.08,y
98.42,0.01,0.5,0.05,n
98.1,0.03,0.5,0.02,n
99.34,0,0.5,0.02,n
99.45,0.01,0.5,0.02,n
98.49,0.01,0.5,0.03,y
97.23,0.02,0.49,0.08,n
86.33,0.09,0.46,0.36,y
97.48,0.02,0.49,0.1,n
84.9,0.02,0.49,0.04,n
98.38,0.01,0.5,0.05,n
96.44,0.02,0.49,0.16,n
96.03,0.02,0.49,0.09,n
91.7,0.04,0.48,0.23,y
95.06,0.03,0.49,0.14,n
94.98,0.03,0.49,0.13,n
96.43,0.02,0.49,0.09,n
97.97,0.01,0.5,0.06,n
98.02,0.05,0.49,0.03,y
96.81,0.02,0.49,0.08,n
92.37,0.05,0.48,0.29,y
88.27,0.06,0.48,0.28,n
95.18,0.02,0.49,0.11,n
95.26,0.03,0.49,0.11,n
91.19,0.06,0.48,0.36,y
97.05,0.02,0.49,0.08,n
97.22,0.02,0.5,0.03,n
83.49,0.09,0.46,0.32,n
97.98,0.01,0.5,0.04,y
89.94,0.07,0.47,0.26,y
94.09,0.03,0.49,0.15,y
98.27,0.02,0.5,0.06,n
98.47,0.01,0.5,0.07,n
95.65,0.03,0.49,0.08,n
93.65,0.05,0.48,0.19,y
98.23,0.01,0.5,0.06,y
88.87,0.03,0.49,0.17,n
95.61,0.03,0.49,0.11,y
66.08,0.08,0.47,0.12,n
97.64,0.02,0.49,0.06,y
98.14,0.04,0.49,0.05,n
95.16,0.04,0.49,0.12,n
97.11,0.02,0.49,0.09,y
92.65,0.05,0.48,0.38,y
95.22,0.03,0.49,0.16,n
99.34,0,0.5,0.03,y
96.88,0.02,0.49,0.07,n
97.27,0.01,0.5,0.08,n
98.24,0.01,0.5,0.04,n
94.7,0.02,0.49,0.18,n
94.58,0.03,0.49,0.2,n
97.42,0.01,0.5,0.09,y
96.39,0.02,0.49,0.1,y
97.4,0.02,0.49,0.13,n
95.07,0.03,0.49,0.16,n
98.52,0.01,0.5,0.05,n
82.07,0.06,0.48,0.25,y
88.95,0.07,0.47,0.46,n
97.12,0.01,0.49,0.07,n
98.53,0.02,0.5,0.03,n
99.32,0.03,0.5,0.01,n
96.21,0.01,0.49,0.1,n
97.11,0.02,0.49,0.13,y
97.03,0.01,0.5,0.09,n
98.51,0.01,0.5,0.06,n
96.16,0.02,0.49,0.12,y
85.51,0.05,0.48,0.27,y
88.47,0.14,0.46,0.26,y
96.97,0.03,0.49,0.06,y
92.87,0.03,0.49,0.15,n
90.06,0.04,0.48,0.21,y
94.61,0.03,0.49,0.18,y
93.25,0.04,0.49,0.18,n
