@relation '3. AgreeablenessFinder_LIWC + SN features-weka.filters.unsupervised.attribute.Remove-R1-29,31-100'

@attribute affect numeric
@attribute cAGR {n,y}

@data
6.79,n
6.48,y
8.63,y
9.32,y
8.14,y
4.55,y
8.45,n
6.37,y
8.12,y
5.36,n
7.07,n
5.43,n
6.62,n
4.17,n
6.08,y
8.16,y
8.95,n
6.67,y
9.46,y
13.7,n
8.7,n
4.95,y
8.11,y
8.08,n
6.1,y
10.5,y
7.4,n
12.13,y
9.95,y
7.12,n
8.87,y
7.65,n
8.31,n
4.2,n
13.2,y
6.75,n
14.29,n
6.32,y
3.57,n
11.86,n
4.55,y
4.74,n
6.79,y
8.16,y
6.39,n
0,n
9.2,n
10.12,y
4.41,n
8.7,y
5.66,n
7.78,y
10.46,n
3.15,y
5.88,y
6.6,n
4.93,y
4.75,y
9,y
7.47,n
7.5,y
3.09,y
0,n
7.28,y
0,y
9.36,n
9.3,n
7.44,n
7.69,n
7.09,n
0,n
6.6,n
5.5,y
5.05,y
7.14,y
9.8,n
5.59,y
5.7,n
5.84,y
0,y
6.75,y
15.31,n
5.08,y
3.45,n
5.86,n
6.31,y
3.12,y
17.24,n
6.69,y
7.2,n
8,y
8.54,y
11.08,y
10.81,y
6.7,n
6.57,y
4.67,n
4.46,y
14.13,n
8.35,y
6.32,y
0,n
11.11,n
9.6,n
0,n
7.68,n
3.85,y
8.27,y
11.36,y
7,n
7.77,n
7.6,n
9.37,n
6.45,y
11.11,n
8.12,y
15.38,n
5.88,y
5.19,n
2.88,n
7.38,n
6.58,n
6.83,n
33.33,n
16.67,n
0,y
4.02,y
11.45,y
10.29,y
8.75,n
0,n
4.38,y
9.63,n
9.08,y
6.03,y
7.23,y
4,y
7.08,y
14.29,n
0,n
12.35,y
8.47,y
7.26,y
4.08,y
4.88,y
3.37,n
0,y
8.05,n
6.06,n
22.22,n
3.57,n
0,n
16.67,n
9.65,y
12.68,y
9.82,n
8.51,n
10,y
0,y
0,y
0,n
0,n
3.03,n
8.76,y
6.84,n
8.57,n
11.24,y
5.05,y
8.79,y
7.24,n
6.99,y
7.22,y
3.4,y
5.48,n
8.24,y
7.19,y
6.08,n
6.74,y
7.97,n
10,y
7.54,n
5.73,n
8.39,y
9.51,n
5.68,y
10.11,y
7.45,y
8.79,n
4.46,n
5.74,n
8.63,n
5.49,n
6.95,n
6.88,y
5.73,y
5.88,n
5.26,y
8.03,n
7.67,y
6.14,y
8.4,n
7.04,y
11.98,n
10.89,y
10.98,y
11.11,y
4.26,n
9.59,y
5.52,n
7.56,n
6.77,y
5.95,y
4.91,y
5.56,y
10.9,n
7.56,y
6.8,y
8.7,y
9.02,y
11.19,y
4.35,n
7.78,y
11.54,n
5.69,n
7.61,y
8.68,y
2.4,y
8.54,n
10.76,n
11.25,y
6.28,y
6.95,y
8,y
6.52,n
10.45,n
8.87,y
7.79,y
7.19,y
7.08,y
5.42,n
6.67,n
3.03,y
9.82,y
4.74,y
