@relation '3. AgreeablenessFinder_LIWC + SN features-weka.filters.unsupervised.attribute.Remove-R1-2,4-5,7-12,14,17-20,22-35,37-39,41-46,48-49,51-75,78-79,81-89,91,93-95,97-99'

@attribute Clout numeric
@attribute WPS numeric
@attribute we numeric
@attribute shehe numeric
@attribute they numeric
@attribute adverb numeric
@attribute social numeric
@attribute male numeric
@attribute differ numeric
@attribute hear numeric
@attribute informal numeric
@attribute swear numeric
@attribute nonflu numeric
@attribute Quote numeric
@attribute Parenth numeric
@attribute NBETWEENNESS numeric
@attribute TRANSITIVITY numeric
@attribute cAGR {n,y}

@data
65.73,9.52,0.2,4.37,0.2,5.61,8.55,0.2,2.22,0.72,2.02,0.2,0.2,0,0.59,93.29,0.1,n
61.02,9.84,1.4,1.52,0.51,4.57,8.64,0,2.03,0.76,2.03,0.25,0.64,0,0.76,96.58,0.11,y
51.92,7.92,0.32,1.12,0.48,3.35,8.47,0.96,2.24,1.12,4.79,1.76,0.64,1.76,1.76,93.04,0.02,y
59.94,9.14,0,0.74,0,5.33,7.4,0.15,1.48,0.89,4.88,0.3,0.89,0.59,1.78,97.77,0.06,y
40.35,13.65,0.41,1.57,0.41,5.12,6.28,0.29,3.66,0.47,2.85,0.29,0.29,1.05,1.51,95.92,0.09,y
69.84,11,0,0.65,0,2.6,9.74,0,1.95,0.65,1.3,0,0.65,2.6,1.3,97.7,0.08,y
52.85,11.83,0.61,0.61,0.31,5.09,8.04,0.71,2.34,0.41,2.85,0.92,0.41,0.81,0.31,96.01,0.18,n
49.57,10.23,0.32,1.3,0.22,5.56,6.86,0.54,2.43,0.38,1.89,0.43,0.32,1.24,1.51,97.74,0.07,y
36.72,15.81,0.5,0.54,0.38,5.74,6.11,0.38,2.85,0.84,4.82,0.88,0.29,0.17,0.17,97.19,0.05,y
10.58,9.33,0,3.57,0,5.36,8.93,5.36,8.93,0,1.79,0,0,0,0,96.83,0.07,n
30.32,11.22,0.15,0.69,0.08,6.07,3.54,0.69,2.31,0.23,1.23,0.08,0,0.61,2.23,98.59,0.03,n
55.95,11.12,0.56,1.12,0.19,4.31,7.12,1.31,1.69,0.75,2.62,0,0,2.25,1.12,92.27,0.27,n
67.16,7.75,0.21,2.26,0.21,3.97,8.12,2.52,1.62,0.73,1.97,0.98,0.13,0.17,0.34,97.74,0.07,n
50.79,9.32,0.4,0.3,0.6,2.18,4.07,0.5,1.49,0.1,1.89,0.3,0.5,0.2,0.2,93.49,0.06,n
34.24,5.69,0,1.69,0.68,5.07,4.73,0,2.7,1.01,4.05,0.34,0.34,0,1.69,97.12,0.01,y
53.16,9.27,0.79,1.75,0.26,6.75,9.04,2.37,2.02,2.37,3.07,0.61,0.35,1.93,1.05,95.9,0.12,y
45.8,7.92,0,0,0,6.84,8.42,0,4.74,1.05,1.58,0.53,0,0,0,97.61,0.08,n
57.07,9.78,1.33,0.89,0,4.67,6.22,1.33,1.78,0,1.78,0.67,0.22,1.78,2.22,98.5,0.05,y
64.18,13.78,0.16,0.79,0,2.52,8.68,0.16,2.52,0.16,2.52,0,0,0.63,0.32,98.28,0.05,y
47.26,8.11,0.68,1.37,0,4.79,8.22,0.68,1.37,0,10.27,2.74,4.11,1.37,0.68,94.32,0.18,n
66.81,5.75,0,0,0,4.35,4.35,0,0,0,4.35,0,0,0,4.35,98.88,0,n
53.96,11.22,0.99,0,0,5.94,4.95,0,0,0.99,3.96,0,0,0,1.98,94.9,0.16,y
60.66,9.25,0,0,0,2.7,8.11,0,0,5.41,2.7,0,0,0,2.7,86.59,0.31,y
66.4,10.83,0.77,2.69,1.92,6.15,10,0,3.08,0,1.92,0.38,0,2.31,0,94.4,0.14,n
64.29,8.2,0,0,1.22,4.88,8.54,0,4.88,2.44,2.44,0,0,0,0,95.66,0.12,y
74.23,10,0.5,1,0,4.5,12,2,3,0,1.5,0.5,0,2,2,95.46,0.16,y
52.72,12,0.51,0.26,0.09,4.76,7.31,0.68,2.98,0.6,2.89,0,0.6,1.19,1.62,97.08,0.14,n
54.98,7.71,0,1.26,0,5.44,7.11,0.84,0.84,2.09,3.35,0.84,0.42,0.84,1.67,98.47,0.05,y
88.03,8.5,1.81,1.36,0.9,6.33,12.67,0,2.71,0.45,1.36,0,0,0,2.71,98.04,0.11,y
30.22,23.77,0.32,0.97,0.32,4.85,7.44,1.62,4.53,0.32,2.91,0.97,0.65,0.65,1.94,93.77,0.2,n
53.02,19.63,0.38,0.19,0.75,6.42,8.87,0,3.21,0,2.08,0.19,0.38,0.75,2.83,98.5,0.06,y
74.41,9.63,0,2.73,0,3.28,7.65,3.83,0,0,1.64,0,0,0,0,94.11,0.13,n
41.29,11,0.5,1.12,0.31,5.49,5.92,0.89,1.82,0.12,3.05,0,0.46,0.62,0.39,97.74,0.08,n
38.97,6.6,0,0,0.23,3.96,3.73,0.47,1.4,0.47,5.13,1.17,1.17,0,0,96.61,0.17,n
32.66,9.13,0.28,0,0,8.71,5.06,0,2.81,1.4,6.46,0,0.84,0,0,97.74,0.07,y
29.95,7.4,0,0.19,0.19,6,6.38,0.38,2.63,0.19,2.06,0.75,0.38,0,0.38,87.33,0.1,n
92.33,4.67,0,0,0,0,21.43,0,0,0,0,0,0,0,0,98.76,0.04,n
65.64,10.55,0.57,2.3,0.29,3.74,8.62,0.57,2.3,0.29,1.72,0,0,0.57,1.15,97.95,0.08,y
40.6,8.4,0,0,0,7.14,1.19,0,0,2.38,0,0,0,0,0,81.1,0.38,n
53.72,26.88,0.7,0,0,3.72,5.58,0.23,1.4,0,7.91,2.79,0.93,0,0,93.98,0.09,n
50,11,0,0,0,0,0,0,0,0,0,0,0,0,0,97.76,0.08,y
37.6,10.56,0,1.05,0,3.68,3.16,1.58,1.58,0,1.58,0,0.53,0,0,61.25,0.48,n
56.23,12.76,1.57,0,1.05,7.32,11.67,0.7,4.88,0.87,2.79,0.7,0.87,2.79,1.74,99.49,0.01,y
20.71,49,0,0,0,10.2,6.12,0,2.04,0,2.04,0,0,0,0,99.21,0.04,y
49.28,7.01,0.13,0.45,1.08,4.14,6.97,0.63,1.93,0.22,3.91,1.93,0.63,3.24,0.27,79.31,0.43,n
41.59,23.5,0,0,0,4.26,2.13,0,2.13,0,2.13,0,0,0,0,91.25,0.38,n
22.2,13.34,0.23,0.77,0.14,5.97,5.18,0.95,3.56,0.58,4.62,1.55,0.56,1.31,1.55,91.06,0.28,n
34.85,16.32,0.58,0,0.39,6.13,7.59,0.19,3.02,0.78,5.74,0.68,0.29,0.39,0,97.76,0.06,y
28.62,9.3,0,1.59,0,7.41,6.35,1.76,3.88,0.88,1.23,0,0.18,0,1.06,98.05,0.05,n
66.81,4.6,0,0,0,0,13.04,0,4.35,0,0,0,0,8.7,0,98.82,0.03,y
90.92,13.83,2.83,1.42,1.26,4.09,13.68,2.99,2.2,1.42,0.16,0,0,3.14,0.31,88.93,0.12,n
67.16,6.43,0,4.44,0,5.56,10,4.44,3.33,2.22,1.11,0,0,2.22,0,98.55,0.03,y
84.2,12.27,0.22,0,0.55,4.74,12.22,0.55,3.19,0.44,3.74,0,0.22,1.54,0.88,83.84,0.43,n
43.09,14.38,0.08,0.25,0.08,3.81,3.73,0.33,0.99,0.17,0.83,0,0,0,0.66,96.76,0.07,y
74.61,12.36,0,5.15,0,4.41,8.82,0,2.21,0.74,0.74,0,0,1.47,1.47,93.22,0.27,y
44.96,6.91,0.76,1.52,0,4.57,8.38,0.51,2.03,0.25,2.54,0.76,0.25,0,1.02,99.52,0.01,n
76.66,14.69,0.23,2.35,1.41,2.58,10.33,2.58,1.41,0.47,1.17,0.7,0.23,5.16,0,94.34,0.17,y
40.62,12.04,0.3,0.3,0.59,4.15,6.53,0.89,4.45,1.48,0.3,0.3,0,0.89,0,98.43,0.03,y
32.12,8.78,0,0.9,0.3,7.2,6,1.05,3.45,0.6,3.9,1.35,0.3,1.8,0.45,96.49,0.1,y
75.02,7.69,0,4.82,0,6.02,10.36,0.48,1.93,0.24,1.2,0.24,0.72,0,0.96,91.84,0.04,n
58.62,12.43,0.27,3.2,0.34,6.13,8.38,2.93,3.34,0.75,0.89,0.2,0.27,1.43,0.68,95.87,0.1,y
45.88,5.39,0,0,0,4.12,3.09,0,2.06,0,0,0,0,0,2.06,96.93,0.08,y
22.08,6.5,0,0,0,0,3.85,0,3.85,0,0,0,0,0,0,98.66,0.04,n
54.65,10.7,1.08,0.63,0.09,4.4,9.07,0.63,2.61,0.9,4.94,2.61,0.27,5.39,0.54,99.46,0.01,y
35.01,5.2,0,0,0,3.85,0,0,0,0,3.85,0,0,0,0,97.34,0.06,y
57.13,7.38,1,0,0,3.98,8.57,1.39,2.59,0.6,2.79,0,0.2,0.8,0,96.27,0.11,n
48.45,10.32,0.78,0.39,0,5.04,4.65,0.78,1.16,0,2.71,1.94,0.39,0.78,0,94.78,0.16,n
