@relation '8. AgreeablenessFinder_Self Focus + SN Features'

@attribute work numeric
@attribute leisure numeric
@attribute home numeric
@attribute money numeric
@attribute relig numeric
@attribute death numeric
@attribute NETWORKSIZE numeric
@attribute BETWEENNESS numeric
@attribute NBETWEENNESS numeric
@attribute DENSITY numeric
@attribute BROKERAGE numeric
@attribute NBROKERAGE numeric
@attribute TRANSITIVITY numeric
@attribute cAGR {n,y}

@data
2.48,1.7,1.11,0.39,0.13,0.33,180,14861.6,93.29,0.03,15661,0.49,0.1,n
3.56,2.03,0.51,0.76,0.89,0.13,251,30061.5,96.58,0.02,30616,0.49,0.11,y
0.8,1.44,0.64,0.32,0.32,0.48,115,5992.5,93.04,0.03,6390,0.5,0.02,y
1.63,2.66,0.15,0.15,0.44,0.15,676,222411,97.77,0.01,225707,0.5,0.06,y
2.15,2.09,0.87,1.05,0.23,0.17,112,5856.21,95.92,0.04,5968,0.49,0.09,y
4.55,0,0,0,0,0.65,431,90115.4,97.7,0.02,91202,0.49,0.08,y
1.32,2.24,0.2,0.71,0.1,0.2,855,349689,96.01,0.02,358852,0.49,0.18,n
2.05,2.11,0.81,0.65,0.81,0.11,694,234370,97.74,0.01,237664,0.5,0.07,y
1.05,2.93,1.21,0.34,0.46,0.17,188,16902.2,97.19,0.02,17179,0.49,0.05,y
0,0,0,0,0,0,822,325950,96.83,0.01,333695,0.5,0.07,n
1.08,3.61,0.46,0.92,0.23,0.23,689,233003,98.59,0.01,235127,0.5,0.03,n
4.31,2.81,0.37,0.19,0,0,177,14210.2,92.27,0.05,14795,0.48,0.27,n
1.37,3.89,0.21,0.26,0.3,0.13,789,303058,97.74,0.01,307565,0.5,0.07,n
1.19,0.99,0,0,0.79,0.1,562,146858,93.49,0.02,155268,0.49,0.06,n
1.01,1.69,1.69,0.34,0.34,0,804,312739,97.12,0.01,321175,0.5,0.01,y
1.58,0.96,0.18,0.35,0.18,0.44,493,115837,95.9,0.02,118848,0.49,0.12,y
4.21,3.16,0.53,0,0.53,0,654,207792,97.61,0.01,210797,0.5,0.08,n
2,2.67,0,0.44,0.44,0,845,350408,98.5,0.01,353642,0.5,0.05,y
1.1,3.79,0.95,1.1,0,0.16,714,249452,98.28,0.01,251861,0.5,0.05,y
1.37,4.11,0,0.68,0,0,549,141358,94.32,0.02,146775,0.49,0.18,n
13.04,0,8.7,0,0,0,1560,1200910,98.88,0,1213740,0.5,0,n
3.96,1.98,0.99,0,1.98,0,278,36276,94.9,0.03,37357,0.49,0.16,y
2.7,5.41,0,0,0,0,223,21241,86.59,0.06,23383,0.48,0.31,y
1.15,3.85,0,0.38,0,0,298,41492.8,94.4,0.03,42968,0.49,0.14,n
6.1,4.88,0,0,0,0,298,42048.1,95.66,0.03,43144,0.49,0.12,y
0.5,1,1.5,0,5.5,0.5,686,223635,95.46,0.02,230361,0.49,0.16,y
2.38,2.3,0.51,0.43,0.51,0.26,631,192351,97.08,0.02,195496,0.49,0.14,n
2.93,3.77,0.84,0.42,0,0,1091,584445,98.47,0.01,590203,0.5,0.05,y
