@relation '3. ConscientiousnessFinder_LIWC + SN features-weka.filters.unsupervised.attribute.Remove-R1-2,5-7,9-13,15-32,34,39,41-43,45-46,49-50,52-57,59,61-84,86-88,90-93,99-100'

@attribute Clout numeric
@attribute Authentic numeric
@attribute Dic numeric
@attribute you numeric
@attribute anx numeric
@attribute sad numeric
@attribute social numeric
@attribute family numeric
@attribute friend numeric
@attribute male numeric
@attribute discrep numeric
@attribute differ numeric
@attribute percept numeric
@attribute feel numeric
@attribute affiliation numeric
@attribute power numeric
@attribute Colon numeric
@attribute Dash numeric
@attribute NETWORKSIZE numeric
@attribute BETWEENNESS numeric
@attribute NBETWEENNESS numeric
@attribute DENSITY numeric
@attribute BROKERAGE numeric
@attribute cCON {n,y}

@data
65.73,16.45,84.53,0.91,0.33,0.2,8.55,0.2,0.13,0.2,2.28,2.22,2.94,0.59,1.63,2.09,0.59,0.78,180,14861.6,93.29,0.03,15661,n
61.02,53.16,85.39,0.76,0.13,0.25,8.64,0,0.51,0,1.52,2.03,3.3,0.38,2.54,2.54,1.4,0.64,251,30061.5,96.58,0.02,30616,y
51.92,41.11,84.03,1.92,0.16,0.32,8.47,0.8,0.16,0.96,1.92,2.24,4.31,1.28,1.6,1.76,0.64,1.44,115,5992.5,93.04,0.03,6390,y
59.94,39.34,82.1,2.37,0.15,0.44,7.4,0,0,0.15,1.78,1.48,6.51,3.4,1.63,1.63,3.25,2.81,676,222411,97.77,0.01,225707,n
40.35,40.74,87.73,0.99,0.41,0.47,6.28,0.12,0.23,0.29,3.37,3.66,3.02,0.76,1.34,1.8,0.52,0.23,112,5856.21,95.92,0.04,5968,n
69.84,95.47,84.42,0,0,0.65,9.74,0,0,0,0,1.95,0.65,0,3.25,0.65,0,3.9,431,90115.4,97.7,0.02,91202,y
52.85,65.69,84.11,2.24,0.31,0.81,8.04,0.1,0.2,0.71,1.32,2.34,3.56,1.73,1.53,1.22,0,1.63,855,349689,96.01,0.02,358852,y
49.57,54.68,81.26,1.19,0.32,0.7,6.86,0.16,0.27,0.54,1.62,2.43,2.32,0.86,1.4,2.27,0.49,1.4,694,234370,97.74,0.01,237664,y
36.72,72.7,85.51,1.13,0.13,0.42,6.11,0.34,0.34,0.38,1.59,2.85,2.81,0.5,1.8,1.88,0,0.25,188,16902.2,97.19,0.02,17179,n
10.58,99,80.36,1.79,0,1.79,8.93,1.79,1.79,5.36,0,8.93,0,0,1.79,1.79,1.79,0,822,325950,96.83,0.01,333695,n
30.32,92.38,85.7,0.54,0.08,0.23,3.54,0.31,0.31,0.69,1.23,2.31,2.08,1,1.08,2.31,0.38,0.85,689,233003,98.59,0.01,235127,n
55.95,44.87,79.59,0.75,0.19,0,7.12,0.94,0.19,1.31,1.87,1.69,3.37,1.31,1.69,1.31,1.87,2.25,177,14210.2,92.27,0.05,14795,n
67.16,50.17,82.22,1.41,0.26,0.21,8.12,0.17,0.26,2.52,1.45,1.62,3.21,0.43,2.09,1.71,0.56,0.43,789,303058,97.74,0.01,307565,n
50.79,7.17,43.3,0.6,0.3,0.2,4.07,0.3,0.2,0.5,0.89,1.49,1.29,0.5,0.89,1.79,0.6,0.79,562,146858,93.49,0.02,155268,n
34.24,40.75,84.12,0.34,0,0,4.73,0.34,0,0,3.04,2.7,3.04,0,0.68,1.01,1.01,1.69,804,312739,97.12,0.01,321175,y
53.16,54.43,86.05,1.05,0.44,0.44,9.04,0.61,0.18,2.37,1.67,2.02,4.47,0.61,1.84,2.63,1.14,1.14,493,115837,95.9,0.02,118848,y
45.8,90.72,92.63,3.16,0.53,0,8.42,0,0.53,0,2.63,4.74,1.05,0,1.58,0.53,0,2.11,654,207792,97.61,0.01,210797,y
57.07,86.27,84,1.11,0.22,0.22,6.22,0.22,0.44,1.33,0.67,1.78,2.22,0.67,2.22,2.22,0.67,2.67,845,350408,98.5,0.01,353642,n
64.18,50.9,86.12,3.15,0.32,0.32,8.68,0.16,0.16,0.16,2.21,2.52,2.52,0.32,1.89,1.26,0,0,714,249452,98.28,0.01,251861,y
47.26,68.98,81.51,2.05,0,0,8.22,0,0.68,0.68,0,1.37,3.42,0.68,2.74,1.37,7.53,0,549,141358,94.32,0.02,146775,y
66.81,98.89,86.96,0,0,0,4.35,0,0,0,0,0,4.35,0,0,4.35,0,4.35,1560,1200910,98.88,0,1213740,n
53.96,99,85.15,0.99,0,0,4.95,0,0,0,0,0,0.99,0,1.98,0.99,0,1.98,278,36276,94.9,0.03,37357,y
60.66,4.5,81.08,2.7,0,0,8.11,0,0,0,5.41,0,8.11,0,5.41,0,0,0,223,21241,86.59,0.06,23383,n
66.4,19.17,91.54,0.77,0,0.38,10,0,0,0,3.08,3.08,0.77,0,2.31,1.54,0.38,0.38,298,41492.8,94.4,0.03,42968,y
64.29,48.21,82.93,3.66,0,0,8.54,1.22,0,0,1.22,4.88,2.44,0,3.66,4.88,0,2.44,298,42048.1,95.66,0.03,43144,y
74.23,53.33,92,3.5,0,0.5,12,1.5,1,2,4,3,3,0,2,5,0,0.5,686,223635,95.46,0.02,230361,n
52.72,71.95,81.21,2.04,0.17,0.43,7.31,0.43,0.26,0.68,1.53,2.98,2.55,0.26,2.04,3.06,0.34,1.11,631,192351,97.08,0.02,195496,y
54.98,73.05,84.94,0.42,0,0.42,7.11,0.42,1.26,0.84,1.26,0.84,5.02,0.42,2.09,1.26,0.42,2.51,1091,584445,98.47,0.01,590203,y
88.03,34.15,77.83,3.62,0,1.36,12.67,0.9,0,0,1.81,2.71,0.9,0.45,4.07,1.81,2.26,1.81,622,188741,98.04,0.01,190791,n
30.22,72.54,82.52,0.32,0.32,0.65,7.44,0.32,1.29,1.62,1.62,4.53,2.91,0.65,1.62,3.56,0.32,0.97,267,33049.5,93.77,0.03,34304,y
