@relation '2. OpennessFinder_24 features'

@attribute affect numeric
@attribute posemo numeric
@attribute negemo numeric
@attribute anx numeric
@attribute anger numeric
@attribute sad numeric
@attribute social numeric
@attribute family numeric
@attribute friend numeric
@attribute female numeric
@attribute male numeric
@attribute cogproc numeric
@attribute insight numeric
@attribute cause numeric
@attribute discrep numeric
@attribute tentat numeric
@attribute certain numeric
@attribute differ numeric
@attribute work numeric
@attribute leisure numeric
@attribute home numeric
@attribute money numeric
@attribute relig numeric
@attribute death numeric
@attribute cOPN {y,n}

@data
6.79,4.63,1.96,0.33,0.85,0.2,8.55,0.2,0.13,4.5,0.2,10.51,2.22,1.5,2.28,1.63,1.5,2.22,2.48,1.7,1.11,0.39,0.13,0.33,y
6.48,4.7,1.52,0.13,0.25,0.25,8.64,0,0.51,1.78,0,9.4,1.78,1.52,1.52,1.65,2.03,2.03,3.56,2.03,0.51,0.76,0.89,0.13,y
8.63,3.35,5.27,0.16,2.56,0.32,8.47,0.8,0.16,0.64,0.96,9.11,1.12,0.96,1.92,2.4,1.6,2.24,0.8,1.44,0.64,0.32,0.32,0.48,y
9.32,8.14,1.18,0.15,0.3,0.44,7.4,0,0,0.74,0.15,9.02,1.33,1.33,1.78,2.66,1.48,1.48,1.63,2.66,0.15,0.15,0.44,0.15,y
8.14,4.94,3.14,0.41,0.87,0.47,6.28,0.12,0.23,1.74,0.29,13.26,1.92,1.16,3.37,3.66,1.63,3.66,2.15,2.09,0.87,1.05,0.23,0.17,y
4.55,2.6,0.65,0,0,0.65,9.74,0,0,1.3,0,12.34,7.14,0.65,0,1.3,1.95,1.95,4.55,0,0,0,0,0.65,n
8.45,4.79,3.56,0.31,1.12,0.81,8.04,0.1,0.2,1.22,0.71,11.81,2.85,1.63,1.32,2.85,1.83,2.34,1.32,2.24,0.2,0.71,0.1,0.2,n
6.37,3.46,2.92,0.32,0.97,0.7,6.86,0.16,0.27,1.03,0.54,9.88,1.73,1.03,1.62,3.02,1.13,2.43,2.05,2.11,0.81,0.65,0.81,0.11,y
8.12,5.82,2.26,0.13,0.8,0.42,6.11,0.34,0.34,0.75,0.38,9.17,2.09,0.67,1.59,2.3,1.01,2.85,1.05,2.93,1.21,0.34,0.46,0.17,y
5.36,1.79,3.57,0,1.79,1.79,8.93,1.79,1.79,0,5.36,23.21,7.14,3.57,0,5.36,1.79,8.93,0,0,0,0,0,0,y
7.07,6,0.92,0.08,0.15,0.23,3.54,0.31,0.31,0.08,0.69,9.68,2.46,0.92,1.23,2.84,1,2.31,1.08,3.61,0.46,0.92,0.23,0.23,y
5.43,4.87,0.56,0.19,0.19,0,7.12,0.94,0.19,0.75,1.31,8.8,2.43,0.75,1.87,2.81,0.94,1.69,4.31,2.81,0.37,0.19,0,0,y
6.62,4.36,2.26,0.26,1.07,0.21,8.12,0.17,0.26,0.26,2.52,7.31,1.28,0.47,1.45,1.79,1.37,1.62,1.37,3.89,0.21,0.26,0.3,0.13,y
4.17,2.58,1.59,0.3,0.7,0.2,4.07,0.3,0.2,0.1,0.5,4.77,0.79,0.7,0.89,1.39,0.89,1.49,1.19,0.99,0,0,0.79,0.1,y
6.08,5.07,1.01,0,0.34,0,4.73,0.34,0,1.69,0,11.82,1.69,1.35,3.04,2.36,2.03,2.7,1.01,1.69,1.69,0.34,0.34,0,y
8.16,4.56,3.42,0.44,1.4,0.44,9.04,0.61,0.18,0.53,2.37,11.14,2.81,1.75,1.67,1.67,2.02,2.02,1.58,0.96,0.18,0.35,0.18,0.44,n
8.95,6.84,2.11,0.53,1.05,0,8.42,0,0.53,0,0,12.11,1.05,0.53,2.63,3.68,2.11,4.74,4.21,3.16,0.53,0,0.53,0,y
6.67,4.67,2,0.22,1.11,0.22,6.22,0.22,0.44,0,1.33,9.33,1.78,0.44,0.67,2.44,2.44,1.78,2,2.67,0,0.44,0.44,0,n
9.46,6.94,2.52,0.32,0.32,0.32,8.68,0.16,0.16,0.79,0.16,9.94,2.05,0.95,2.21,3.79,1.1,2.52,1.1,3.79,0.95,1.1,0,0.16,y
13.7,6.85,6.85,0,4.11,0,8.22,0,0.68,1.37,0.68,5.48,2.05,0,0,0.68,1.37,1.37,1.37,4.11,0,0.68,0,0,y
8.7,8.7,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,13.04,0,8.7,0,0,0,y
4.95,3.96,0.99,0,0.99,0,4.95,0,0,0.99,0,1.98,0,0,0,0,1.98,0,3.96,1.98,0.99,0,1.98,0,y
8.11,8.11,0,0,0,0,8.11,0,0,0,0,16.22,5.41,2.7,5.41,2.7,0,0,2.7,5.41,0,0,0,0,y
8.08,5.38,2.69,0,0.38,0.38,10,0,0,2.69,0,13.08,2.31,1.92,3.08,2.69,1.54,3.08,1.15,3.85,0,0.38,0,0,n
6.1,3.66,2.44,0,0,0,8.54,1.22,0,0,0,10.98,1.22,1.22,1.22,4.88,0,4.88,6.1,4.88,0,0,0,0,y
10.5,8,2.5,0,1,0.5,12,1.5,1,1.5,2,12,2,1,4,5,1,3,0.5,1,1.5,0,5.5,0.5,n
7.4,4.93,2.38,0.17,0.94,0.43,7.31,0.43,0.26,0.34,0.68,9.18,1.79,1.02,1.53,1.62,1.45,2.98,2.38,2.3,0.51,0.43,0.51,0.26,n
12.13,10.04,2.09,0,0,0.42,7.11,0.42,1.26,1.26,0.84,6.28,0.84,0.84,1.26,1.26,1.67,0.84,2.93,3.77,0.84,0.42,0,0,y
9.95,7.24,2.26,0,0.45,1.36,12.67,0.9,0,1.36,0,8.6,1.36,0.9,1.81,3.17,1.81,2.71,0.45,0.45,0.9,0.45,0.45,0,y
7.12,3.56,3.56,0.32,1.62,0.65,7.44,0.32,1.29,0.97,1.62,11.33,1.94,1.62,1.62,3.56,1.29,4.53,2.91,1.29,0,0.65,0.97,0.32,y
8.87,7.55,1.32,0.19,0.38,0.19,8.87,0,0.19,0.75,0,14.34,3.02,2.08,1.32,3.21,3.21,3.21,1.89,1.32,0.38,0.19,0.19,0,y
7.65,4.92,2.73,0,1.09,0,7.65,0.55,0.55,0,3.83,6.01,2.73,1.09,1.09,0,1.09,0,4.92,1.09,1.64,0,1.09,0,n
8.31,6.42,1.89,0.35,0.19,0.58,5.92,1.01,0.54,0.93,0.89,7.58,1.55,1.2,0.85,1.51,1.12,1.82,5.03,2.05,1.86,0.46,0.31,0.04,n
4.2,2.33,1.86,0.23,0.47,0.23,3.73,0.93,0.47,0.93,0.47,3.03,0.23,0.23,0.7,0.23,0.23,1.4,0.7,0.93,1.4,0.23,0.23,0.23,n
13.2,9.27,3.93,0.28,0.84,0.28,5.06,0.28,0,0.28,0,8.71,1.97,0.56,1.4,1.12,1.69,2.81,3.09,3.65,0.84,0,0.28,0.28,y
6.75,3.75,2.81,0,1.13,0,6.38,0.19,0.38,0.19,0.38,9.76,2.06,1.13,2.06,3,0.75,2.63,1.88,2.63,0.19,0.94,0,0.19,n
14.29,7.14,7.14,0,0,7.14,21.43,7.14,0,7.14,0,14.29,0,0,7.14,0,7.14,0,0,0,0,0,0,0,y
6.32,5.46,0.86,0,0,0.57,8.62,0.86,0.86,2.3,0.57,8.91,2.01,0.57,1.15,2.01,2.01,2.3,3.74,2.01,0.29,0.57,0.57,0,n
3.57,2.38,1.19,0,0,0,1.19,0,0,0,0,5.95,1.19,1.19,0,2.38,2.38,0,1.19,3.57,2.38,0,0,0,y
11.86,7.44,4.19,0.23,1.86,0.23,5.58,0.23,0.47,0.23,0.23,10.23,2.09,0.23,2.79,3.95,1.4,1.4,2.33,2.09,0.23,0.23,0.7,0,n
4.55,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n
4.74,2.63,2.11,0,0,0,3.16,0.53,0,0.53,1.58,4.74,1.58,0.53,0.53,0.53,0,1.58,2.11,3.16,1.05,1.05,0,0,y
6.79,4.18,2.44,0.35,0.35,0.7,11.67,0.17,0.52,0.17,0.7,16.9,3.31,2.09,2.61,5.92,1.74,4.88,1.39,1.22,0.35,0.17,0.17,0,y
8.16,2.04,6.12,0,0,0,6.12,2.04,0,2.04,0,12.24,0,6.12,0,2.04,2.04,2.04,6.12,0,2.04,0,0,0,y
6.39,2.83,3.51,0.18,2.2,0.18,6.97,0.18,0,0.04,0.63,8.28,1.75,1.03,1.62,1.62,1.53,1.93,1.12,2.16,0.27,0.13,0.72,0.58,y
0,0,0,0,0,0,2.13,0,0,0,0,4.26,0,0,2.13,0,0,2.13,4.26,2.13,0,0,0,0,n
9.2,4.83,4.27,0.27,2.03,0.66,5.18,0.5,0.17,0.48,0.95,11.77,1.64,1.24,1.49,4.08,1.14,3.56,1.18,1.53,0.93,0.31,0.44,0.46,n
10.12,8.07,2.04,0.49,0.39,0.58,7.59,0.19,0.1,0.29,0.19,10.31,1.75,0.49,2.24,3.7,1.07,3.02,1.36,3.4,0.78,0.19,0.39,0.1,y
4.41,2.65,1.76,0.18,0.53,0.71,6.35,0.35,0,0.18,1.76,14.46,2.82,1.59,3,4.94,1.06,3.88,1.94,2.12,0.71,1.23,0,0.18,n
8.7,4.35,4.35,0,0,0,13.04,0,0,0,0,21.74,0,4.35,4.35,0,8.7,4.35,4.35,0,0,0,0,0,y
5.66,5.03,0.63,0,0.16,0.16,13.68,0,0,0.63,2.99,7.7,1.1,1.26,1.1,2.2,0.79,2.2,0.31,0.79,0.16,0.47,3.46,0.16,y
7.78,2.22,5.56,0,1.11,3.33,10,0,1.11,0,4.44,15.56,1.11,3.33,2.22,5.56,1.11,3.33,2.22,2.22,1.11,1.11,0,0,y
10.46,9.03,1.43,0,0.66,0.33,12.22,0.44,0.77,0.22,0.55,11.23,1.76,1.65,2.2,3.63,1.54,3.19,1.98,1.76,0.11,0.88,0.77,0.11,n
3.15,2.32,0.75,0,0,0.08,3.73,0.41,0.08,0.75,0.33,5.38,0.5,0.75,0.99,2.15,0.5,0.99,11.34,2.4,3.31,0.17,0.91,0,y
5.88,4.41,1.47,1.47,0,0,8.82,0.74,0,5.88,0,5.15,1.47,0.74,1.47,2.21,0.74,2.21,2.21,1.47,0,0,0.74,0,y
