@relation '5. OpennessFinder_Emotion Affect + SN Features'

@attribute affect numeric
@attribute posemo numeric
@attribute negemo numeric
@attribute anx numeric
@attribute anger numeric
@attribute sad numeric
@attribute NETWORKSIZE numeric
@attribute BETWEENNESS numeric
@attribute NBETWEENNESS numeric
@attribute DENSITY numeric
@attribute BROKERAGE numeric
@attribute NBROKERAGE numeric
@attribute TRANSITIVITY numeric
@attribute cOPN {y,n}

@data
6.79,4.63,1.96,0.33,0.85,0.2,180,14861.6,93.29,0.03,15661,0.49,0.1,y
6.48,4.7,1.52,0.13,0.25,0.25,251,30061.5,96.58,0.02,30616,0.49,0.11,y
8.63,3.35,5.27,0.16,2.56,0.32,115,5992.5,93.04,0.03,6390,0.5,0.02,y
9.32,8.14,1.18,0.15,0.3,0.44,676,222411,97.77,0.01,225707,0.5,0.06,y
8.14,4.94,3.14,0.41,0.87,0.47,112,5856.21,95.92,0.04,5968,0.49,0.09,y
4.55,2.6,0.65,0,0,0.65,431,90115.4,97.7,0.02,91202,0.49,0.08,n
8.45,4.79,3.56,0.31,1.12,0.81,855,349689,96.01,0.02,358852,0.49,0.18,n
6.37,3.46,2.92,0.32,0.97,0.7,694,234370,97.74,0.01,237664,0.5,0.07,y
8.12,5.82,2.26,0.13,0.8,0.42,188,16902.2,97.19,0.02,17179,0.49,0.05,y
5.36,1.79,3.57,0,1.79,1.79,822,325950,96.83,0.01,333695,0.5,0.07,y
7.07,6,0.92,0.08,0.15,0.23,689,233003,98.59,0.01,235127,0.5,0.03,y
5.43,4.87,0.56,0.19,0.19,0,177,14210.2,92.27,0.05,14795,0.48,0.27,y
6.62,4.36,2.26,0.26,1.07,0.21,789,303058,97.74,0.01,307565,0.5,0.07,y
4.17,2.58,1.59,0.3,0.7,0.2,562,146858,93.49,0.02,155268,0.49,0.06,y
6.08,5.07,1.01,0,0.34,0,804,312739,97.12,0.01,321175,0.5,0.01,y
8.16,4.56,3.42,0.44,1.4,0.44,493,115837,95.9,0.02,118848,0.49,0.12,n
8.95,6.84,2.11,0.53,1.05,0,654,207792,97.61,0.01,210797,0.5,0.08,y
6.67,4.67,2,0.22,1.11,0.22,845,350408,98.5,0.01,353642,0.5,0.05,n
9.46,6.94,2.52,0.32,0.32,0.32,714,249452,98.28,0.01,251861,0.5,0.05,y
13.7,6.85,6.85,0,4.11,0,549,141358,94.32,0.02,146775,0.49,0.18,y
8.7,8.7,0,0,0,0,1560,1200910,98.88,0,1213740,0.5,0,y
4.95,3.96,0.99,0,0.99,0,278,36276,94.9,0.03,37357,0.49,0.16,y
8.11,8.11,0,0,0,0,223,21241,86.59,0.06,23383,0.48,0.31,y
8.08,5.38,2.69,0,0.38,0.38,298,41492.8,94.4,0.03,42968,0.49,0.14,n
6.1,3.66,2.44,0,0,0,298,42048.1,95.66,0.03,43144,0.49,0.12,y
10.5,8,2.5,0,1,0.5,686,223635,95.46,0.02,230361,0.49,0.16,n
7.4,4.93,2.38,0.17,0.94,0.43,631,192351,97.08,0.02,195496,0.49,0.14,n
12.13,10.04,2.09,0,0,0.42,1091,584445,98.47,0.01,590203,0.5,0.05,y
9.95,7.24,2.26,0,0.45,1.36,622,188741,98.04,0.01,190791,0.5,0.11,y
7.12,3.56,3.56,0.32,1.62,0.65,267,33049.5,93.77,0.03,34304,0.49,0.2,y
8.87,7.55,1.32,0.19,0.38,0.19,1151,650745,98.5,0.01,656894,0.5,0.06,y
7.65,4.92,2.73,0,1.09,0,313,45656,94.11,0.03,47527,0.49,0.13,n
8.31,6.42,1.89,0.35,0.19,0.58,965,453685,97.74,0.01,460223,0.5,0.08,n
4.2,2.33,1.86,0.23,0.47,0.23,671,216520,96.61,0.02,220974,0.49,0.17,n
