ppron,ipron,article,prep,auxverb,adverb,conj,negate,verb,NETWORKSIZE,BETWEENNESS,NBETWEENNESS,DENSITY,BROKERAGE,NBROKERAGE,TRANSITIVITY,cOPN
7.31,3.52,6.14,13.64,9.46,5.61,5.61,1.57,17.75,180,14861.6,93.29,0.03,15661,0.49,0.1,y
7.75,4.45,6.35,13.21,7.5,4.57,4.57,2.16,17.03,251,30061.5,96.58,0.02,30616,0.49,0.11,y
8.79,6.55,6.23,11.34,7.99,3.35,4.47,1.28,14.7,115,5992.5,93.04,0.03,6390,0.5,0.02,y
7.84,4.29,4.88,11.54,7.69,5.33,4.44,0.74,15.83,676,222411,97.77,0.01,225707,0.5,0.06,y
7.21,4.36,7.09,12.73,9.13,5.12,5.29,2.33,18.31,112,5856.21,95.92,0.04,5968,0.49,0.09,y
3.25,5.84,10.39,17.53,3.25,2.6,5.84,0,8.44,431,90115.4,97.7,0.02,91202,0.49,0.08,n
8.66,4.79,5.7,13.54,9.37,5.09,2.85,2.04,17.82,855,349689,96.01,0.02,358852,0.49,0.18,n
7.24,4.05,6.37,13.23,6.97,5.56,4.91,1.4,14.04,694,234370,97.74,0.01,237664,0.5,0.07,y
8.04,3.94,5.99,13.15,8.54,5.74,5.11,1.93,19.01,188,16902.2,97.19,0.02,17179,0.49,0.05,y
12.5,3.57,5.36,8.93,5.36,5.36,3.57,7.14,12.5,822,325950,96.83,0.01,333695,0.5,0.07,y
7.38,3.07,7.53,15.83,7.84,6.07,4,1.08,16.22,689,233003,98.59,0.01,235127,0.5,0.03,y
6.37,4.12,5.99,12.92,6.55,4.31,4.49,1.5,14.61,177,14210.2,92.27,0.05,14795,0.48,0.27,y
5.73,3.97,7.35,13.42,9.1,3.97,3.8,1.07,16.71,789,303058,97.74,0.01,307565,0.5,0.07,y
3.97,2.78,3.18,4.47,5.26,2.18,2.98,0.99,8.24,562,146858,93.49,0.02,155268,0.49,0.06,y
4.73,5.41,4.73,9.46,11.15,5.07,3.72,4.05,21.28,804,312739,97.12,0.01,321175,0.5,0.01,y
8.77,4.56,5.79,12.46,8.42,6.75,4.47,2.54,18.42,493,115837,95.9,0.02,118848,0.49,0.12,n
8.95,5.79,2.63,13.68,12.11,6.84,6.84,1.58,20,654,207792,97.61,0.01,210797,0.5,0.08,y
6.89,4.22,8.67,12.89,6.44,4.67,3.56,0.89,15.56,845,350408,98.5,0.01,353642,0.5,0.05,n
8.52,5.36,6.94,14.2,8.83,2.52,3.79,1.42,17.98,714,249452,98.28,0.01,251861,0.5,0.05,y
9.59,5.48,2.74,5.48,7.53,4.79,6.85,2.05,17.81,549,141358,94.32,0.02,146775,0.49,0.18,y
0,4.35,13.04,17.39,0,4.35,0,0,0,1560,1200910,98.88,0,1213740,0.5,0,y
7.92,3.96,5.94,15.84,4.95,5.94,2.97,0,17.82,278,36276,94.9,0.03,37357,0.49,0.16,y
10.81,8.11,0,8.11,8.11,2.7,2.7,0,16.22,223,21241,86.59,0.06,23383,0.48,0.31,y
8.46,9.23,6.92,11.15,10.38,6.15,3.46,1.54,19.62,298,41492.8,94.4,0.03,42968,0.49,0.14,n
8.54,4.88,8.54,8.54,12.2,4.88,4.88,0,12.2,298,42048.1,95.66,0.03,43144,0.49,0.12,y
10,3.5,3.5,9.5,10,4.5,7.5,1,22,686,223635,95.46,0.02,230361,0.49,0.16,n
8.08,3.83,7.06,12.33,6.72,4.76,4.34,1.02,15.39,631,192351,97.08,0.02,195496,0.49,0.14,n
5.02,3.35,6.28,15.48,7.53,5.44,5.44,1.26,15.06,1091,584445,98.47,0.01,590203,0.5,0.05,y
10.41,2.26,4.98,11.31,8.14,6.33,5.88,0.9,14.93,622,188741,98.04,0.01,190791,0.5,0.11,y
7.12,4.53,5.5,11.65,10.03,4.85,4.53,2.59,18.45,267,33049.5,93.77,0.03,34304,0.49,0.2,y
8.49,3.21,7.17,11.13,9.43,6.42,4.53,2.83,18.3,1151,650745,98.5,0.01,656894,0.5,0.06,y
3.83,1.64,4.92,8.2,12.02,3.28,1.64,0,20.22,313,45656,94.11,0.03,47527,0.49,0.13,n
8.7,3.44,4.87,14.08,6.92,5.49,7.04,1.04,17.32,965,453685,97.74,0.01,460223,0.5,0.08,n
4.2,1.17,2.33,11.89,4.2,3.96,3.5,0.93,10.26,671,216520,96.61,0.02,220974,0.49,0.17,n
9.55,4.78,5.62,12.08,8.71,8.71,4.49,1.12,15.45,241,28030.7,97.74,0.02,28314,0.49,0.07,y
11.26,3.94,3.94,11.07,8.07,6,6.38,1.5,16.14,159,10831.2,87.33,0.04,12050,0.49,0.1,n
21.43,7.14,7.14,21.43,0,0,0,0,21.43,907,404895,98.76,0.01,407823,0.5,0.04,y
6.32,3.16,6.03,15.23,8.91,3.74,4.6,0.86,16.09,459,102508,97.95,0.01,103590,0.49,0.08,n
3.57,4.76,4.76,11.9,5.95,7.14,8.33,0,15.48,72,2015.24,81.1,0.12,2262,0.46,0.38,y
6.05,6.05,4.42,12.56,8.6,3.72,3.49,0.93,17.91,91,3763.98,93.98,0.05,3899,0.49,0.09,n
0,0,0,9.09,4.55,0,0,0,9.09,512,127388,97.76,0.01,129045,0.5,0.08,n
4.74,2.63,8.42,15.79,9.47,3.68,1.05,2.11,16.84,144,6219.2,61.25,0.15,8791,0.43,0.48,y
11.15,7.32,4.36,10.98,11.67,7.32,5.57,3.14,22.3,126,7710.5,99.49,0.02,7729,0.5,0.01,y
12.24,2.04,6.12,12.24,4.08,10.2,4.08,0,18.37,414,84404.8,99.21,0.01,84584,0.5,0.04,y
7.56,3.51,6.66,9.67,10.35,4.14,3.15,1.57,16.55,89,3036.16,79.31,0.12,3452,0.45,0.43,y
2.13,0,2.13,19.15,2.13,4.26,4.26,0,8.51,82,2956.54,91.25,0.09,3036,0.47,0.38,n
9.06,4.33,5.37,11.87,7.89,5.97,5.18,1.78,16.33,169,12774.1,91.06,0.05,13457,0.48,0.28,n
10.12,4.57,5.84,11.67,9.53,6.13,5.45,1.95,17.7,41,762.5,97.76,0.07,765,0.49,0.06,y
9.7,7.58,4.06,14.11,10.05,7.41,5.29,2.12,20.28,440,94264.3,98.05,0.01,95323,0.5,0.05,n
0,13.04,13.04,8.7,17.39,0,0,4.35,30.43,77,2816.33,98.82,0.03,2824,0.5,0.03,y
8.96,2.67,7.86,12.89,8.49,4.09,5.97,0.94,15.72,24,225,88.93,0.13,241,0.48,0.12,y
8.89,3.33,5.56,8.89,16.67,5.56,4.44,2.22,24.44,565,156458,98.55,0.01,157750,0.5,0.03,y
7.49,5.62,5.29,9.91,7.27,4.74,6.17,2.2,15.97,159,10399.2,83.84,0.08,11611,0.47,0.43,n
4.64,1.99,3.97,14.07,4.14,3.81,12,0.99,10.51,775,289468,96.76,0.01,296135,0.49,0.07,y
5.88,2.94,4.41,12.5,5.15,4.41,3.68,0.74,10.29,379,66420.9,93.22,0.03,69191,0.49,0.27,y
9.9,2.28,3.81,13.2,9.64,4.57,3.55,2.03,15.74,826,338268,99.52,0,339027,0.5,0.01,y
7.75,3.29,7.75,15.26,8.45,2.58,3.76,1.17,13.38,175,14199.5,94.34,0.04,14654,0.49,0.17,y
5.93,5.04,7.42,15.73,8.61,4.15,3.26,2.67,17.21,486,115531,98.43,0.01,116816,0.5,0.03,y
6.9,6.45,5.25,10.19,12.74,7.2,3.6,2.25,19.19,302,43566.4,96.49,0.02,44428,0.49,0.1,y
6.75,4.58,6.27,12.53,10.6,6.02,3.86,1.45,22.17,322,47166.9,91.84,0.02,50780,0.49,0.04,n
8.04,5.11,6.41,12.54,9.54,6.13,5.39,1.84,18.75,436,90494.3,95.87,0.02,92933,0.49,0.1,y
1.03,1.03,5.15,8.25,0,4.12,1.03,1.03,1.03,127,7633,96.93,0.03,7743,0.49,0.08,y
3.85,0,11.54,15.38,15.38,0,0,3.85,30.77,1098,593081,98.66,0.01,598066,0.5,0.04,n
