Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
u1.txt,1,1532,69.61,65.73,16.45,75.44,9.52,17.30,84.53,48.37,10.84,7.31,1.63,0.20,0.91,4.37,0.20,3.52,6.14,13.64,9.46,5.61,5.61,1.57,17.75,5.29,1.89,1.04,3.13,1.83,6.79,4.63,1.96,0.33,0.85,0.20,8.55,0.20,0.13,4.50,0.20,10.51,2.22,1.50,2.28,1.63,1.50,2.22,2.94,1.37,0.72,0.59,3.39,1.83,0.72,0.07,0.52,6.33,1.63,1.17,2.09,1.17,0.78,3.07,13.19,2.22,15.73,1.76,6.72,7.44,2.48,1.70,1.11,0.39,0.13,0.33,2.02,0.20,0.91,0.78,0.20,0.07,24.22,9.92,4.50,0.59,0.20,0.85,0.98,0.78,0.00,2.28,0.59,3.52
u10.txt,1,787,74.14,61.02,53.16,82.60,9.84,16.77,85.39,46.38,12.20,7.75,3.56,1.40,0.76,1.52,0.51,4.45,6.35,13.21,7.50,4.57,4.57,2.16,17.03,4.57,2.03,2.16,2.54,1.91,6.48,4.70,1.52,0.13,0.25,0.25,8.64,0.00,0.51,1.78,0.00,9.40,1.78,1.52,1.52,1.65,2.03,2.03,3.30,2.16,0.76,0.38,3.43,0.25,0.64,0.13,2.41,8.77,2.54,1.78,2.54,3.18,0.13,1.65,12.71,3.94,17.15,2.92,5.46,8.89,3.56,2.03,0.51,0.76,0.89,0.13,2.03,0.25,1.27,0.51,0.64,0.00,34.94,11.31,3.68,1.40,0.13,1.27,7.88,0.64,0.00,2.67,0.76,5.21
u100.txt,1,626,65.67,51.92,41.11,5.41,7.92,16.77,84.03,45.85,15.34,8.79,4.95,0.32,1.92,1.12,0.48,6.55,6.23,11.34,7.99,3.35,4.47,1.28,14.70,5.43,0.96,1.12,3.19,1.60,8.63,3.35,5.27,0.16,2.56,0.32,8.47,0.80,0.16,0.64,0.96,9.11,1.12,0.96,1.92,2.40,1.60,2.24,4.31,1.44,1.12,1.28,5.75,1.76,1.28,1.28,1.76,5.75,1.60,0.48,1.76,1.28,0.64,2.56,10.38,0.64,14.38,1.28,7.03,6.07,0.80,1.44,0.64,0.32,0.32,0.48,4.79,1.76,2.24,0.32,0.64,0.00,34.50,11.98,3.51,0.64,0.32,0.96,5.27,1.44,1.76,3.19,1.76,3.67
u101.txt,1,676,68.11,59.94,39.34,99.00,9.14,14.64,82.10,42.90,12.13,7.84,4.73,0.00,2.37,0.74,0.00,4.29,4.88,11.54,7.69,5.33,4.44,0.74,15.83,7.10,2.51,1.63,2.07,1.78,9.32,8.14,1.18,0.15,0.30,0.44,7.40,0.00,0.00,0.74,0.15,9.02,1.33,1.33,1.78,2.66,1.48,1.48,6.51,1.63,0.89,3.40,3.99,1.04,0.89,0.00,1.48,6.36,1.63,1.33,1.63,2.22,0.30,1.33,11.69,1.78,14.35,2.66,5.92,6.21,1.63,2.66,0.15,0.15,0.44,0.15,4.88,0.30,3.25,1.04,0.89,0.15,49.26,16.57,1.63,3.25,0.15,2.37,11.69,2.81,0.59,1.78,1.78,6.66
u102.txt,1,1720,68.88,40.35,40.74,59.93,13.65,15.70,87.73,49.13,11.57,7.21,3.84,0.41,0.99,1.57,0.41,4.36,7.09,12.73,9.13,5.12,5.29,2.33,18.31,5.64,2.15,1.40,1.10,2.44,8.14,4.94,3.14,0.41,0.87,0.47,6.28,0.12,0.23,1.74,0.29,13.26,1.92,1.16,3.37,3.66,1.63,3.66,3.02,1.57,0.47,0.76,4.01,0.76,1.28,0.06,1.69,5.93,1.34,1.22,1.80,1.86,0.23,2.91,12.73,3.26,15.12,2.62,6.10,6.92,2.15,2.09,0.87,1.05,0.23,0.17,2.85,0.29,1.63,0.64,0.29,0.00,26.98,11.57,3.43,0.52,0.12,0.41,2.85,0.23,1.05,2.97,1.51,2.33
u103.txt,1,154,97.54,69.84,95.47,62.70,11.00,18.18,84.42,45.45,9.09,3.25,2.60,0.00,0.00,0.65,0.00,5.84,10.39,17.53,3.25,2.60,5.84,0.00,8.44,5.19,1.95,1.95,2.60,1.95,4.55,2.60,0.65,0.00,0.00,0.65,9.74,0.00,0.00,1.30,0.00,12.34,7.14,0.65,0.00,1.30,1.95,1.95,0.65,0.00,0.65,0.00,1.30,0.00,1.30,0.00,0.00,4.55,3.25,1.30,0.65,0.00,0.65,1.30,4.55,2.60,20.13,3.25,11.04,5.19,4.55,0.00,0.00,0.00,0.00,0.65,1.30,0.00,0.65,0.00,0.65,0.00,51.30,7.79,3.90,0.00,0.00,16.88,6.49,3.90,2.60,1.30,1.30,7.14
u104.txt,1,982,69.03,52.85,65.69,48.44,11.83,13.03,84.11,47.25,13.44,8.66,4.89,0.61,2.24,0.61,0.31,4.79,5.70,13.54,9.37,5.09,2.85,2.04,17.82,5.19,2.85,1.02,1.93,2.34,8.45,4.79,3.56,0.31,1.12,0.81,8.04,0.10,0.20,1.22,0.71,11.81,2.85,1.63,1.32,2.85,1.83,2.34,3.56,1.53,0.41,1.73,3.97,0.92,1.83,0.00,0.71,7.64,1.53,2.55,1.22,2.95,0.81,2.34,12.22,1.63,15.27,2.24,7.64,5.80,1.32,2.24,0.20,0.71,0.10,0.20,2.85,0.92,1.53,0.41,0.41,0.00,32.89,14.36,3.87,0.00,0.10,1.02,4.07,1.63,0.81,6.01,0.31,0.71
u105.txt,1,1852,76.19,49.57,54.68,35.18,10.23,18.41,81.26,46.33,11.29,7.24,4.21,0.32,1.19,1.30,0.22,4.05,6.37,13.23,6.97,5.56,4.91,1.40,14.04,4.86,1.94,1.51,1.62,1.40,6.37,3.46,2.92,0.32,0.97,0.70,6.86,0.16,0.27,1.03,0.54,9.88,1.73,1.03,1.62,3.02,1.13,2.43,2.32,0.81,0.38,0.86,3.83,0.81,1.08,0.00,1.46,6.10,1.40,1.19,2.27,1.30,0.38,3.35,8.80,1.30,16.25,2.48,6.64,7.24,2.05,2.11,0.81,0.65,0.81,0.11,1.89,0.43,0.81,0.38,0.32,0.00,27.27,8.91,3.73,0.49,0.22,1.03,1.51,1.40,1.24,2.21,1.51,5.02
u106.txt,1,2388,67.47,36.72,72.70,87.08,15.81,13.74,85.51,48.66,11.98,8.04,5.49,0.50,1.13,0.54,0.38,3.94,5.99,13.15,8.54,5.74,5.11,1.93,19.01,4.40,0.96,1.01,1.05,1.47,8.12,5.82,2.26,0.13,0.80,0.42,6.11,0.34,0.34,0.75,0.38,9.17,2.09,0.67,1.59,2.30,1.01,2.85,2.81,1.17,0.84,0.50,3.81,1.05,0.88,0.08,1.47,6.70,1.80,1.34,1.88,2.35,0.21,3.22,13.78,2.64,16.33,2.64,6.62,7.50,1.05,2.93,1.21,0.34,0.46,0.17,4.82,0.88,3.27,0.59,0.29,0.08,21.52,3.60,2.09,0.00,0.00,1.13,10.80,0.25,0.17,1.17,0.17,2.14
u107.txt,1,56,42.31,10.58,99.00,6.15,9.33,17.86,80.36,44.64,16.07,12.50,7.14,0.00,1.79,3.57,0.00,3.57,5.36,8.93,5.36,5.36,3.57,7.14,12.50,8.93,3.57,1.79,1.79,3.57,5.36,1.79,3.57,0.00,1.79,1.79,8.93,1.79,1.79,0.00,5.36,23.21,7.14,3.57,0.00,5.36,1.79,8.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.36,1.79,0.00,1.79,0.00,1.79,5.36,8.93,0.00,16.07,1.79,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,1.79,0.00,0.00,1.79,0.00,0.00,37.50,14.29,5.36,1.79,0.00,0.00,8.93,0.00,0.00,5.36,0.00,1.79
